x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-3.4,-3.35466666667,-3.37733333333,0,nan,nan,nan,nan,nan,0,-1
-3.35466666667,-3.30933333333,-3.332,0,nan,nan,nan,nan,nan,0,-1
-3.30933333333,-3.264,-3.28666666667,0,nan,nan,nan,nan,nan,0,-1
-3.264,-3.21866666667,-3.24133333333,0,nan,nan,nan,nan,nan,0,-1
-3.21866666667,-3.17333333333,-3.196,0,nan,nan,nan,nan,nan,0,-1
-3.17333333333,-3.128,-3.15066666667,38426,nan,nan,nan,nan,nan,0,-1
-3.128,-3.08266666667,-3.10533333333,129987,nan,nan,nan,nan,nan,0,-1
-3.08266666667,-3.03733333333,-3.06,129478,nan,nan,nan,nan,nan,0,-1
-3.03733333333,-2.992,-3.01466666667,130516,nan,nan,nan,nan,nan,0,-1
-2.992,-2.94666666667,-2.96933333333,130203,nan,nan,nan,nan,nan,0,-1
-2.94666666667,-2.90133333333,-2.924,127542,2.76261459138,0.00182169568607,0.295931069717,0.00102952956044,1.99337695239,1,0
-2.90133333333,-2.856,-2.87866666667,130502,2.75602314038,0.0104577433885,0.293901789596,0.00600488240329,nan,1,1
-2.856,-2.81066666667,-2.83333333333,127486,2.77720796756,0.012917344006,0.304322805356,0.00709353847957,7.98754034048,1,1
-2.81066666667,-2.76533333333,-2.788,130328,2.76175078332,0.0110556224771,0.296729827062,0.00626919131523,1.9924322794,1,1
-2.76533333333,-2.72,-2.74266666667,131526,nan,nan,nan,nan,nan,0,-1
-2.72,-2.67466666667,-2.69733333333,129982,2.76713438412,0.00324201042092,0.296831346118,0.00178031333363,nan,1,0
-2.67466666667,-2.62933333333,-2.652,129606,2.76184200863,0.0112319890885,0.298788033626,0.00641066560588,nan,1,1
-2.62933333333,-2.584,-2.60666666667,129920,nan,nan,nan,nan,nan,0,-1
-2.584,-2.53866666667,-2.56133333333,130803,nan,nan,nan,nan,nan,0,-1
-2.53866666667,-2.49333333333,-2.516,130395,nan,nan,nan,nan,nan,0,-1
-2.49333333333,-2.448,-2.47066666667,129468,2.76565527845,0.00182511170932,0.298159542048,0.00103558348522,nan,1,0
-2.448,-2.40266666667,-2.42533333333,129380,nan,nan,nan,nan,nan,0,-1
-2.40266666667,-2.35733333333,-2.38,127991,2.76662698729,0.0115739320596,0.297551054123,0.00646123917324,nan,1,1
-2.35733333333,-2.312,-2.33466666667,127758,nan,nan,nan,nan,nan,0,-1
-2.312,-2.26666666667,-2.28933333333,128496,2.77183168269,0.0123919978217,0.30379726071,0.00692725384799,6.98671159902,1,1
-2.26666666667,-2.22133333333,-2.244,129774,2.76747667348,0.0117633207109,0.300514052758,0.00661086451801,7.9897592092,1,1
-2.22133333333,-2.176,-2.19866666667,129562,2.75895265166,0.0108099156288,0.295563079892,0.00617158373049,nan,1,1
-2.176,-2.13066666667,-2.15333333333,129755,2.75706277431,0.00235813988876,0.292393864852,0.00125324122719,nan,1,0
-2.13066666667,-2.08533333333,-2.108,128386,nan,nan,nan,nan,nan,0,-1
-2.08533333333,-2.04,-2.06266666667,128621,2.76781278934,0.0116162516486,0.297281608268,0.00645049078855,nan,1,1
-2.04,-1.99466666667,-2.01733333333,128591,2.76777076904,0.0116143553634,0.297279596962,0.00645045961633,2.99303779195,1,1
-1.99466666667,-1.94933333333,-1.972,128966,nan,nan,nan,nan,nan,0,-1
-1.94933333333,-1.904,-1.92666666667,129366,nan,nan,nan,nan,nan,0,-1
-1.904,-1.85866666667,-1.88133333333,127614,nan,nan,nan,nan,nan,0,-1
-1.85866666667,-1.81333333333,-1.836,129824,3.08361812263,0.0809509138951,0.443247803365,0.0306851788774,nan,1,0
-1.81333333333,-1.768,-1.79066666667,126357,2.76492659378,0.00368968730605,0.292409420211,0.00198314198235,nan,1,0
-1.768,-1.72266666667,-1.74533333333,128860,nan,nan,nan,nan,nan,0,-1
-1.72266666667,-1.67733333333,-1.7,127967,nan,nan,nan,nan,nan,0,-1
-1.67733333333,-1.632,-1.65466666667,127268,nan,nan,nan,nan,nan,0,-1
-1.632,-1.58666666667,-1.60933333333,122897,2.76828870461,0.0121408752647,0.300365309138,0.00679902671867,nan,1,1
-1.58666666667,-1.54133333333,-1.564,128852,nan,nan,nan,nan,nan,0,-1
-1.54133333333,-1.496,-1.51866666667,126821,nan,nan,nan,nan,nan,0,-1
-1.496,-1.45066666667,-1.47333333333,116536,2.76565600054,0.00257401344314,0.295153201963,0.00142219741709,nan,1,0
-1.45066666667,-1.40533333333,-1.428,106817,2.76619631261,0.012094483592,0.290492035285,0.00660420585937,5.99734121455,1,1
-1.40533333333,-1.36,-1.38266666667,120438,2.75635439517,0.00184986544423,0.273783096494,0.000962268398157,nan,1,0
-1.36,-1.31466666667,-1.33733333333,125041,2.75967034256,0.00911020748614,0.267461101746,0.00470217773507,nan,1,1
-1.31466666667,-1.26933333333,-1.292,124661,2.73065312869,0.00639569800503,0.247730937791,0.00344463654237,2.9999888937,1,1
-1.26933333333,-1.224,-1.24666666667,125316,2.74610153619,1.0000000596,0.245948993006,0.876146070546,nan,1,3
-1.224,-1.17866666667,-1.20133333333,126865,nan,nan,nan,nan,nan,0,-1
-1.17866666667,-1.13333333333,-1.156,126792,2.83557053064,0.00507981990305,0.142672676937,0.00439164044704,2600.98279901,1,1
-1.13333333333,-1.088,-1.11066666667,125802,2.75028077508,0.0078514272478,0.257065289994,0.0040444578882,37.9999662329,1,1
-1.088,-1.04266666667,-1.06533333333,125569,2.75435958025,0.00852871145943,0.263822698318,0.00443355122024,6.99990628117,1,1
-1.04266666667,-0.997333333333,-1.02,126556,2.75617070183,0.00848626316905,0.262164843134,0.00435412509355,11.999942764,1,1
-0.997333333333,-0.952,-0.974666666667,124804,2.79116939361,1.00000496617,0.196136854065,0.811433550262,2389.32187428,1,3
-0.952,-0.906666666667,-0.929333333333,125505,2.81261009451,1.0000000596,0.171452998858,0.786909579851,nan,1,3
-0.906666666667,-0.861333333333,-0.884,126338,2.83553022705,0.00511362947767,0.143027929744,0.00443201891557,2543.98135591,1,1
-0.861333333333,-0.816,-0.838666666667,123945,2.72084813678,0.00570042746704,0.241718785696,0.00312846733267,3.99999537488,1,1
-0.816,-0.770666666667,-0.793333333333,125247,2.74634378439,0.00792707869055,0.261185292444,0.00421182063805,6.99992585638,1,1
-0.770666666667,-0.725333333333,-0.748,124076,2.76317218906,0.00933605421561,0.267071043247,0.00474868781655,37.9998769511,1,1
-0.725333333333,-0.68,-0.702666666667,125674,2.72131883054,0.00574052796862,0.242922548661,0.00315900894849,19.9999954358,1,1
-0.68,-0.634666666667,-0.657333333333,125589,2.83648492211,0.0049666333555,0.140342107612,0.00424368393464,2416.99062378,1,1
-0.634666666667,-0.589333333333,-0.612,125791,2.8326429101,0.00487652947719,0.140580683624,0.0040796923771,nan,1,1
-0.589333333333,-0.544,-0.566666666667,125587,2.74945918132,0.00783287691346,0.257333487702,0.00405200816093,nan,1,1
-0.544,-0.498666666667,-0.521333333333,125518,2.77011017259,0.00223374005392,0.271215214497,0.00115009715065,119.999802881,1,0
-0.498666666667,-0.453333333333,-0.476,124838,2.79234735056,0.0125553145284,0.280995939154,0.00604572691461,399.999536502,1,1
-0.453333333333,-0.408,-0.430666666667,126525,2.7718271432,0.00232347239843,0.269165600843,0.00116966357695,162.999866198,1,0
-0.408,-0.362666666667,-0.385333333333,125593,2.78512619133,0.0114829237899,0.275793917056,0.00556597797133,33.9997345051,1,1
-0.362666666667,-0.317333333333,-0.34,121299,2.83595336065,0.00517982346085,0.142313450328,0.00447640246598,2420.98513492,1,1
-0.317333333333,-0.272,-0.294666666667,124561,2.72924020487,0.00626506359789,0.246392090708,0.00337699599838,nan,1,1
-0.272,-0.226666666667,-0.249333333333,124953,2.76214587491,12394.2309768,0.264067770395,1.42631903068,754.918447034,1,3
-0.226666666667,-0.181333333333,-0.204,124762,2.78900678976,405.983225251,0.248846027773,1.4684845468,1254.53574648,1,3
-0.181333333333,-0.136,-0.158666666667,126189,2.75248981057,1.00000415352,0.258603635012,0.933100661336,78.9190700564,1,3
-0.136,-0.0906666666667,-0.113333333333,124953,2.76885955521,0.00963760795572,0.266631756038,0.00479199504946,141.999901455,1,1
-0.0906666666667,-0.0453333333333,-0.068,79970,2.92114784016,0.0391051108208,0.333916686519,0.0155059517336,868.989682485,1,1
-0.0453333333333,0,-0.0226666666667,90978,5.18778300296,0,0.872512111478,0,1167.91552351,1,4
0,0.0453333333333,0.0226666666667,125215,2.80188998189,0.0137001890702,0.284449254943,0.00646644174476,711.999400796,1,1
0.0453333333333,0.0906666666667,0.068,126798,2.77174915975,0.00974629732545,0.266492203895,0.00479270420746,165.999909828,1,1
0.0906666666667,0.136,0.113333333333,127254,2.76615826133,0.00926980088507,0.265194025105,0.00463102229259,40.9999142543,1,1
0.136,0.181333333333,0.158666666667,126868,2.79347469071,7620.33857016,0.235856161582,1.24214898602,2761.33927572,1,3
0.181333333333,0.226666666667,0.204,123420,3.4733616745,0.0876317266349,0.568751643367,0.0254505659664,74.9973535041,1,0
0.226666666667,0.272,0.249333333333,121485,3.41651068238,0.0443102807063,0.617591016561,0.0146569382904,216.93698382,1,0
0.272,0.317333333333,0.294666666667,101956,2.84075967261,0.0219655206622,0.309890833414,0.00999585993745,404.995092002,1,1
0.317333333333,0.362666666667,0.34,96470,5.32984093626,0.0616602594368,0.85940615582,0.010550378907,1919.07431832,1,4
0.362666666667,0.408,0.385333333333,107746,5.33447279747,0.0721218741784,0.859408141504,0.0116197546705,2864.41476863,1,4
0.408,0.453333333333,0.430666666667,126059,5.11721800951,0.0884238273139,0.833496419888,0.0144647707593,1916.72908562,1,4
0.453333333333,0.498666666667,0.476,126213,3.56043991459,0.0727563010122,0.613932452911,0.0208539196398,634.982151418,1,0
0.498666666667,0.544,0.521333333333,124679,2.97366984237,0.0201885465504,0.490154912313,0.0102907202093,109.997771736,1,0
0.544,0.589333333333,0.566666666667,126714,2.77160246526,0.00303190159605,0.283977605172,0.00160173107445,130.998816505,1,0
0.589333333333,0.634666666667,0.612,105099,2.78047875207,0.0122667603771,0.276821579946,0.00606580263831,326.999709156,1,1
0.634666666667,0.68,0.657333333333,105387,2.77292592154,0.0107876367216,0.266623742121,0.00528467977996,147.999926439,1,1
0.68,0.725333333333,0.702666666667,126096,2.77185949626,0.00229589955515,0.266945172192,0.00113351403505,180.999907725,1,0
0.725333333333,0.770666666667,0.748,123728,2.79616675384,0.000842149678084,0.29644965825,0.000720652435916,371.996774954,1,0
0.770666666667,0.816,0.793333333333,75724,3.34045493695,0.0519837517423,0.594641279575,0.0180776871399,2708.97795017,1,0
0.816,0.861333333333,0.838666666667,112135,5.89137812875,0.0895889320164,0.980635498547,0.013896812274,2141.63330399,1,4
0.861333333333,0.906666666667,0.884,127202,2.80844645741,0.0147986255683,0.291394581322,0.00700041931983,561.998674744,1,1
0.906666666667,0.952,0.929333333333,128070,2.77007624014,0.0105138544605,0.279085187999,0.00544069184821,144.999358807,1,1
0.952,0.997333333333,0.974666666667,123818,2.79361016434,0.00558666664974,0.520795167016,0.00441859673979,41.8874696373,1,0
0.997333333333,1.04266666667,1.02,125311,2.81456373184,0.00914652934471,0.469340631638,0.00660332536157,26.9966107101,1,0
1.04266666667,1.088,1.06533333333,127853,2.98540502241,0.021319479043,0.490265405193,0.0106192202964,25.9979988788,1,0
1.088,1.13333333333,1.11066666667,124904,2.79759324485,0.0110290858758,0.441853004526,0.00804033628782,24.9995510966,1,0
1.13333333333,1.17866666667,1.156,128092,2.77100089311,0.0114702020131,0.291427553077,0.00617247609118,75.9967962526,1,1
1.17866666667,1.224,1.20133333333,129891,2.78506235475,0.0137592854589,0.308365424108,0.0074452155551,80.9833275764,1,1
1.224,1.26933333333,1.24666666667,129070,3.64495271654,0.0694544013784,0.649908574812,0.0194525574554,92.941661554,1,0
1.26933333333,1.31466666667,1.292,119712,2.49360548517,0.000731344956854,0.351826442653,0.00488480946403,188.000004534,1,0
1.31466666667,1.36,1.33733333333,125438,2.76516324825,0.0112520061888,0.42069387542,0.00880882407465,63.9999013127,1,0
1.36,1.40533333333,1.38266666667,119819,2.49702645004,0.00070697744314,0.349151517466,0.005172496715,52.0000011126,1,0
1.40533333333,1.45066666667,1.428,125044,2.68708428784,0.0103259377021,0.379363651244,0.0103872861557,74.0000028599,1,0
1.45066666667,1.496,1.47333333333,130554,3.40280892018,0.0713645965164,0.559851860479,0.0219794928252,87.9969609273,1,0
1.496,1.54133333333,1.51866666667,129392,3.29280600824,0.0758534229652,0.517909414704,0.0246685108614,87.9995191662,1,0
1.54133333333,1.58666666667,1.564,129485,3.32462574291,0.0770374466582,0.527407326427,0.0245210509513,42.999312772,1,0
1.58666666667,1.632,1.60933333333,127051,2.77440526765,0.0127180666454,0.304447891689,0.00705806041177,24.9866386875,1,1
1.632,1.67733333333,1.65466666667,111314,2.78003704277,0.014244362259,0.306445283179,0.00779703665707,28.9870936078,1,1
1.67733333333,1.72266666667,1.7,101630,3.23572344721,0.0518123453329,0.535415265344,0.0186870658175,40.9975625585,1,0
1.72266666667,1.768,1.74533333333,118672,2.73415842794,0.00647794719896,0.446318516651,0.00591860130116,54.998465476,1,0
1.768,1.81333333333,1.79066666667,118939,2.74634002383,0.00429503213982,0.527230592437,0.00380293371844,112.758983106,1,0
1.81333333333,1.85866666667,1.836,127215,2.86089674766,0.00900935672374,0.504418612545,0.00599686603101,805.978160171,1,0
1.85866666667,1.904,1.88133333333,118617,2.49371331328,0.000689950997349,0.333554877113,0.00668569995246,858.999999963,1,0
1.904,1.94933333333,1.92666666667,131000,3.04029379781,0.0413447751303,0.464952698471,0.0177082180198,46.9998813111,1,0
1.94933333333,1.99466666667,1.972,130193,2.75377610123,0.0102839677203,0.293373833721,0.00594656563849,25.9938888776,1,1
1.99466666667,2.04,2.01733333333,130935,2.77331702639,0.0124303390467,0.304301638353,0.00692246182935,24.9861340575,1,1
2.04,2.08533333333,2.06266666667,129750,3.29881142686,0.0448642069362,0.562874645889,0.0156251303487,3.99039075519,1,0
2.08533333333,2.13066666667,2.108,127060,2.79875348068,0.0137432660973,0.425986457614,0.00969308036052,16.9998994191,1,0
2.13066666667,2.176,2.15333333333,129387,3.27925800393,0.0651439040905,0.524068346806,0.0217869855823,14.999114057,1,0
2.176,2.22133333333,2.19866666667,130624,3.30993308911,0.069170120867,0.529979433323,0.0225101720053,14.9990056167,1,0
2.22133333333,2.26666666667,2.244,128315,3.06476456122,0.0207351175843,0.533814699671,0.00958539696811,49.9842127657,1,0
2.26666666667,2.312,2.28933333333,125370,2.73386020331,0.009979093623,0.409697231221,0.00862582651645,31.9999483557,1,0
2.312,2.35733333333,2.33466666667,128417,2.99277415776,0.0818726979219,0.411777139892,0.034166665527,4.00000742444,1,0
2.35733333333,2.40266666667,2.38,127959,2.77544480747,0.0129250326213,0.306802458815,0.00720072044036,nan,1,1
2.40266666667,2.448,2.42533333333,129008,3.34633133366,0.0743389335894,0.537568950351,0.0234833108628,0.998840694991,1,0
2.448,2.49333333333,2.47066666667,129597,3.07376209523,0.0333723041025,0.494277049825,0.0142547332455,2.99904593115,1,0
2.49333333333,2.53866666667,2.516,130746,3.13830127979,0.0565155619684,0.48265824662,0.0212808573427,0.999831253189,1,0
2.53866666667,2.584,2.56133333333,126798,2.71217537251,0.0137117104661,0.378635189054,0.0121719940308,3.00000022856,1,0
2.584,2.62933333333,2.60666666667,129726,3.09531304953,0.0708459279372,0.454167111856,0.0269623116438,1.99998053361,1,0
2.62933333333,2.67466666667,2.652,129524,nan,nan,nan,nan,nan,0,-1
2.67466666667,2.72,2.69733333333,129431,nan,nan,nan,nan,nan,0,-1
2.72,2.76533333333,2.74266666667,128396,nan,nan,nan,nan,nan,0,-1
2.76533333333,2.81066666667,2.788,120757,2.76714502145,0.0116312053695,0.293047912714,0.00638376334456,nan,1,1
2.81066666667,2.856,2.83333333333,127976,2.76800834325,0.0115921884361,0.29631115004,0.00641177144197,nan,1,1
2.856,2.90133333333,2.87866666667,129632,2.75864916678,808.23980654,0.297194565569,1.28226401433,1.9914968035,1,3
2.90133333333,2.94666666667,2.924,127668,nan,nan,nan,nan,nan,0,-1
2.94666666667,2.992,2.96933333333,130224,2.82227439888,0.0183296813813,0.33225270491,0.00945021901599,nan,1,1
