x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,3956,-0.00777303299635,0.000242005932366,0.0124242882412,0.000259411105109,1.44076940467,3,0
-0.8,-0.6,-0.7,4390,-0.00723127750765,0.000212131465539,0.0118311981009,0.000220055402154,2.21590010996,3,0
-0.6,-0.4,-0.5,4578,-0.00747429990047,0.000209456355916,0.0117824271835,0.000214351140767,2.34766051897,3,0
-0.4,-0.2,-0.3,4437,-0.00751488351586,0.000223838527218,0.0122503484642,0.000234923034825,1.69046108023,3,0
-0.2,0,-0.1,4436,-0.00734138389677,0.000221640330576,0.0122199749308,0.000235629069808,1.19037594095,3,0
0,0.2,0.1,4398,-0.00702664908247,0.000216120959264,0.0121428488015,0.000228985703816,1.67252063137,3,0
0.2,0.4,0.3,4556,-0.00739724290933,0.000219223302652,0.0123462869856,0.000221753358287,1.19369875417,3,0
0.4,0.6,0.5,4436,-0.00729356679069,0.000207422255949,0.0117249217632,0.000213660184279,1.80404079754,3,0
0.6,0.8,0.7,4351,-0.00724338261569,0.000216490417061,0.0120105481683,0.000221987311982,1.57487981895,2,0
0.8,1,0.9,3991,-0.00747615293565,0.000238626450832,0.0124934596937,0.000246323160576,1.3261241114,2,0
