x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,2073,-0.00783588263925,0.000389942098058,0.0137106319179,0.000403007341484,1.17915686877,3,0
-0.8,-0.6,-0.7,2077,-0.00731959526421,0.000329013097747,0.0124673472269,0.000343225358506,1.08135327477,3,0
-0.6,-0.4,-0.5,2139,-0.00706743277082,0.000350037622022,0.0130838809008,0.00036689095552,1.33951520385,2,0
-0.4,-0.2,-0.3,2054,-0.00733497753007,0.000362848153004,0.0130589199824,0.000385650666132,1.53599118791,3,0
-0.2,0,-0.1,2034,-0.00662350201414,0.000355865420406,0.0131540388021,0.000378096468681,0.722194056211,4,0
0,0.2,0.1,2025,-0.00699328072125,0.000373534658114,0.013482388118,0.000404802008024,0.928051646131,2,0
0.2,0.4,0.3,2063,-0.00707034716656,0.000346034097062,0.0127693084495,0.000360601372452,1.04675715,3,0
0.4,0.6,0.5,2082,-0.0072018432521,0.000338787077012,0.0124304800842,0.000363502981034,2.66418267201,3,0
0.6,0.8,0.7,2053,-0.00708789346795,0.000346688658477,0.0127279991538,0.000361234103026,1.66260488809,4,0
0.8,1,0.9,1955,-0.00697657567935,0.000333669118991,0.0123606231278,0.00035266106105,1.84282063804,3,0
