x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,2520,-0.00849524068433,0.000350911216091,0.013399590839,0.000349091530711,1.28103159195,4,0
-0.8,-0.6,-0.7,2627,-0.00875047525299,0.000322192987665,0.0127697449979,0.000335417536479,1.38916857591,3,0
-0.6,-0.4,-0.5,2685,-0.00828332108897,0.000338599875889,0.0134627079426,0.000366354900204,1.37931030843,3,0
-0.4,-0.2,-0.3,2548,-0.00791576326139,0.000333846331337,0.013054577645,0.000341888287039,1.27673222423,3,0
-0.2,0,-0.1,2516,-0.00848132719385,0.000366658986337,0.0137163581974,0.00038801001584,1.46599684006,3,0
0,0.2,0.1,2403,-0.00776973009768,0.000339325409552,0.0132764011186,0.000370432912971,1.32460903818,3,0
0.2,0.4,0.3,2603,-0.00751105489447,0.000343389920487,0.0136236325689,0.000366570082996,1.15718909619,4,0
0.4,0.6,0.5,2694,-0.00757647094769,0.000304790316244,0.0126797785473,0.000317549974177,1.59678930791,3,0
0.6,0.8,0.7,2713,-0.0083648566252,0.000329171786434,0.0131906917428,0.0003340537812,1.14926143741,3,0
0.8,1,0.9,2571,-0.00804325445999,0.000340707052851,0.0135523121384,0.000344204596676,1.12937093214,3,0
