x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,2258,-0.000249849864286,6.74678418293e-05,0.00268535743096,7.72559104826e-05,1.43473710286,2,0
-0.8,-0.6,-0.7,2457,-0.000433625433587,5.86292128556e-05,0.00244804365319,6.34410436207e-05,1.84503704475,3,0
-0.6,-0.4,-0.5,2594,-0.00026977365142,4.96193438559e-05,0.00213079020331,5.39644325388e-05,1.69549219863,4,0
-0.4,-0.2,-0.3,2564,-0.000297747719382,5.35794771426e-05,0.00235376412945,5.53085921563e-05,1.03682773742,3,0
-0.2,0,-0.1,2525,-0.000384994573507,5.44910249262e-05,0.00229173725078,6.09052501245e-05,3.0427582029,4,0
0,0.2,0.1,2460,-0.000338238824196,5.35663232713e-05,0.00229123103901,5.92754621074e-05,1.65462139629,3,0
0.2,0.4,0.3,2680,-0.00027589491954,5.04391911275e-05,0.00223399940342,5.49032514133e-05,2.11692017557,4,0
0.4,0.6,0.5,2614,-0.000297318668068,5.30779456386e-05,0.00229850271469,6.09467743114e-05,2.68996204695,4,0
0.6,0.8,0.7,2515,-0.000234858401581,5.7250167441e-05,0.00246874895632,6.40779723778e-05,1.64380232467,3,0
0.8,1,0.9,2359,-0.000445085383299,6.63712144388e-05,0.00265707618092,7.8387790483e-05,1.25177172312,3,0
