x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,1437,7.50081476347e-05,0.000137716643199,0.00361437937792,0.000196832771093,0.866716377379,2,0
-0.8,-0.6,-0.7,1600,-3.62849636712e-05,0.000115072451634,0.00335405639003,0.000145430367108,1.16746568837,2,0
-0.6,-0.4,-0.5,1745,-9.48216254423e-06,8.88365104127e-05,0.0029518295228,0.000105788296395,0.913898470366,2,0
-0.4,-0.2,-0.3,1789,-5.57433437475e-05,8.11195385606e-05,0.00281174998195,9.06461783984e-05,0.877484641833,2,0
-0.2,0,-0.1,1890,0.000100084665389,7.23094330341e-05,0.0026536264727,7.71863906558e-05,0.927618214728,2,0
0,0.2,0.1,1831,-8.07555696387e-05,8.0012989659e-05,0.00278768503114,9.02560959536e-05,1.06546005657,2,0
0.2,0.4,0.3,1802,0.000118152140195,7.60785101485e-05,0.00270346273113,8.40967624567e-05,0.936332602454,2,0
0.4,0.6,0.5,1728,-0.000110800690408,0.000100797702045,0.00317823738446,0.000126187607919,0.821898214501,2,0
0.6,0.8,0.7,1558,-4.37088782995e-05,0.000105715978521,0.00317234792447,0.000129998692,0.797001965396,2,0
0.8,1,0.9,1376,2.96639196403e-05,0.000140628863121,0.00358884957536,0.000205229358917,1.46693513816,2,0
