x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,2695,8.93073244886e-05,0.000112642754405,0.00386600402887,0.000166420597262,0.965528293409,2,0
-0.8,-0.6,-0.7,3351,8.55653521571e-05,7.58389516979e-05,0.00326983208719,9.69684374482e-05,1.3309107152,2,0
-0.6,-0.4,-0.5,3755,-7.12347278834e-05,6.44982618572e-05,0.00307261354349,7.81697530817e-05,1.52718423876,2,0
-0.4,-0.2,-0.3,3868,-2.66428352031e-07,6.13605405704e-05,0.00301374290393,7.38427621905e-05,1.01492964049,2,0
-0.2,0,-0.1,4045,-5.35212059188e-06,5.44108317538e-05,0.00283335841912,6.20307302644e-05,1.10505830998,2,0
0,0.2,0.1,4036,1.65384367441e-05,5.07361424923e-05,0.00269955005838,5.79255929381e-05,2.06004326874,2,0
0.2,0.4,0.3,3953,-3.60178475313e-05,5.64645010403e-05,0.00287721367792,6.48128555259e-05,0.993043243854,2,0
0.4,0.6,0.5,3671,5.56003616711e-05,6.74738584736e-05,0.00314430635001,8.38479875671e-05,0.77040130399,2,0
0.6,0.8,0.7,3270,-9.76666748234e-05,8.42723195055e-05,0.00346202224685,0.000112245060789,0.66640075883,2,0
0.8,1,0.9,2728,-0.000256942582202,0.000110566748943,0.00380241545079,0.000157094203344,1.56155005555,2,0
