x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,1680,0.000288580529715,0.000126300896889,0.00357942427539,0.000172193621082,1.08063536863,2,0
-0.8,-0.6,-0.7,1928,-3.30275775571e-05,9.06938971075e-05,0.00308444506029,0.000105820446367,0.95381321232,2,0
-0.6,-0.4,-0.5,2095,1.4061418551e-06,7.61628397942e-05,0.00283442771736,8.82829524143e-05,1.19270035421,2,0
-0.4,-0.2,-0.3,2158,4.59449584739e-05,7.23259626652e-05,0.00277252782179,7.83872245173e-05,0.784323293805,2,0
-0.2,0,-0.1,2190,1.30419418361e-05,7.43145968727e-05,0.00283016765637,8.31085864812e-05,0.998729820121,2,0
0,0.2,0.1,2109,-1.19324943219e-05,7.04628156792e-05,0.00270572953782,8.11361448515e-05,1.19931821461,2,0
0.2,0.4,0.3,2257,3.69898310102e-05,6.99426579e-05,0.0027541538571,7.91445104338e-05,1.17375606382,2,0
0.4,0.6,0.5,2159,0.000119786751187,8.08955842939e-05,0.00297493613848,9.61390002992e-05,1.01402357245,2,0
0.6,0.8,0.7,1919,-4.5791801214e-05,9.03058053336e-05,0.00306988955379,0.000110931720095,1.03708479955,2,0
0.8,1,0.9,1704,-2.22817185474e-05,0.000118859672728,0.00347883668694,0.000162055994104,1.25506197078,2,0
