x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
0,0.02,0.01,0,nan,nan,nan,nan,nan,0,-1
0.02,0.04,0.03,0,nan,nan,nan,nan,nan,0,-1
0.04,0.06,0.05,0,nan,nan,nan,nan,nan,0,-1
0.06,0.08,0.07,0,nan,nan,nan,nan,nan,0,-1
0.08,0.1,0.09,0,nan,nan,nan,nan,nan,0,-1
0.1,0.12,0.11,0,nan,nan,nan,nan,nan,0,-1
0.12,0.14,0.13,0,nan,nan,nan,nan,nan,0,-1
0.14,0.16,0.15,0,nan,nan,nan,nan,nan,0,-1
0.16,0.18,0.17,0,nan,nan,nan,nan,nan,0,-1
0.18,0.2,0.19,0,nan,nan,nan,nan,nan,0,-1
0.2,0.22,0.21,110841,-8.65143600554e-05,4.41144341114e-05,0.0114703122098,5.08661791196e-05,41.3810767199,7,0
0.22,0.24,0.23,301158,-1.50337374246e-05,2.46317829325e-05,0.0104896634426,2.82586783008e-05,108.856201201,7,0
0.24,0.26,0.25,410695,-0.000100256976114,1.97755454198e-05,0.00983925314545,2.26312288139e-05,158.577720463,7,0
0.26,0.28,0.27,444057,-4.53799818953e-05,1.77847192273e-05,0.00919689915051,2.03920390618e-05,188.421290328,7,0
0.28,0.3,0.29,438987,-4.07691611025e-06,1.68664514619e-05,0.00868069994706,1.93602366052e-05,202.334179266,6,0
0.3,0.32,0.31,417964,-3.95877127979e-05,1.6436716861e-05,0.00822573968026,1.88953902037e-05,206.945370366,6,0
0.32,0.34,0.33,386756,-4.08842048412e-05,1.6282705644e-05,0.00790163218713,1.8633408632e-05,196.469198426,6,0
0.34,0.36,0.35,354871,4.73181082619e-06,1.6231870554e-05,0.00748441972954,1.87208593183e-05,192.033154323,6,0
0.36,0.38,0.37,323529,-1.12396124477e-05,1.63936142052e-05,0.00722757117545,1.88457120815e-05,181.510771716,6,0
0.38,0.4,0.39,293759,1.42691541667e-05,1.66744114776e-05,0.00699806918858,1.91788250342e-05,160.627159967,6,0
0.4,0.42,0.41,265393,-3.73032389855e-05,1.70798289545e-05,0.00677870133707,1.9724333841e-05,156.13772936,7,0
0.42,0.44,0.43,237775,-1.76351986119e-05,1.75480604576e-05,0.0066786528763,1.99970664397e-05,141.135243143,6,0
0.44,0.46,0.45,213407,-1.11206578651e-05,1.80414300967e-05,0.00647094273533,2.06417865033e-05,129.565289218,6,0
0.46,0.48,0.47,190027,3.14847680735e-05,1.89442325491e-05,0.00644449641777,2.16273189392e-05,118.152661664,6,0
0.48,0.5,0.49,167588,1.10628836651e-05,1.96602537522e-05,0.00624122132866,2.27129146804e-05,105.619029508,6,0
0.5,0.52,0.51,148322,7.83082839141e-07,2.07192625549e-05,0.00621071488292,2.3633396875e-05,93.3239218203,6,0
0.52,0.54,0.53,130991,-1.0692473906e-05,2.17249107115e-05,0.00616749689648,2.4589835862e-05,82.8109723887,5,0
0.54,0.56,0.55,115656,2.57656149053e-05,2.26714335702e-05,0.00598592946126,2.61126223057e-05,79.9414185123,6,0
0.56,0.58,0.57,102356,5.84168292963e-05,2.41290442239e-05,0.0059955316008,2.76608376195e-05,68.1613993542,7,0
0.58,0.6,0.59,90248,6.33793336456e-05,2.57486481901e-05,0.00601403734006,2.94466768657e-05,60.8252336701,7,0
0.6,0.62,0.61,80057,4.69260745305e-05,2.64306311115e-05,0.00576461502656,3.03299751978e-05,56.7982533211,7,0
0.62,0.64,0.63,70613,0.000101500158807,2.82134064427e-05,0.00584204608643,3.19576938116e-05,47.18725709,6,0
0.64,0.66,0.65,62014,1.31823965702e-05,2.98539675733e-05,0.00575477930167,3.44926179839e-05,44.0009016731,7,0
0.66,0.68,0.67,54742,7.49508250685e-05,3.16823984988e-05,0.00575044497427,3.63358179161e-05,38.5685385151,7,0
0.68,0.7,0.69,48674,1.46198526782e-05,3.34609534912e-05,0.00573495141189,3.85129869576e-05,33.3322166193,6,0
0.7,0.72,0.71,43337,1.05409429614e-05,3.57228697286e-05,0.00576552729597,4.12277926324e-05,32.0862380303,7,0
0.72,0.74,0.73,38075,9.76865625837e-05,3.84577026445e-05,0.00584748127373,4.447533524e-05,30.2636424462,6,0
0.74,0.76,0.75,33946,4.72254309985e-06,4.02051980166e-05,0.00575121550837,4.61388518361e-05,23.7690704797,6,0
0.76,0.78,0.77,29435,-1.31321832035e-05,4.26511193916e-05,0.00569241056021,4.99829794823e-05,24.0598255919,6,0
0.78,0.8,0.79,26295,1.68699158168e-05,4.47596820589e-05,0.00568403096818,5.10317187976e-05,17.916338353,6,0
0.8,0.82,0.81,23471,1.01313766659e-05,4.79545578301e-05,0.00572320073746,5.50007655754e-05,17.4602806549,6,0
0.82,0.84,0.83,20895,1.35984845975e-05,5.02338978311e-05,0.00566655294522,5.79777508447e-05,15.6554509309,6,0
