x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,3332,0.000129767276473,5.99320208627e-05,0.00282763753567,6.89791811078e-05,1.5074295024,2,0
-0.8,-0.6,-0.7,3913,0.000129199863863,5.31788877009e-05,0.00276346668897,5.80214836434e-05,1.09482038282,2,0
-0.6,-0.4,-0.5,4242,9.91764360225e-06,4.63060607935e-05,0.00259289286838,4.85126885187e-05,0.911496070685,2,0
-0.4,-0.2,-0.3,4215,0.000116025033899,4.60690404909e-05,0.00257839202386,4.85116359104e-05,1.08326448543,2,0
-0.2,0,-0.1,4217,8.85781731947e-05,4.70777532043e-05,0.00260824804828,5.3629434552e-05,2.15059152788,2,0
0,0.2,0.1,4240,9.40558217698e-05,4.53560680259e-05,0.00255581267098,4.79091788095e-05,1.25538318261,2,0
0.2,0.4,0.3,4334,5.78663266964e-05,4.50570564981e-05,0.00256194942748,4.7906126215e-05,1.20477414766,2,0
0.4,0.6,0.5,4113,1.44157543642e-05,4.89656120458e-05,0.00265941278661,5.23435382555e-05,0.853035880995,2,0
0.6,0.8,0.7,3945,0.000164632003493,5.13616721951e-05,0.00270801107221,5.61808793413e-05,0.963166865762,2,0
0.8,1,0.9,3359,5.46797076071e-05,5.97721433001e-05,0.00283537282426,6.57024895239e-05,1.02946636068,2,0
