x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,2681,9.29173410084e-05,0.000111358727904,0.00383134816032,0.000164225485913,1.01947001092,2,0
-0.8,-0.6,-0.7,3394,6.58067889768e-06,7.37058695008e-05,0.00323686392364,9.58088654913e-05,0.921287605188,2,0
-0.6,-0.4,-0.5,3806,-3.627065532e-05,6.89266430648e-05,0.00321850861347,8.80502298861e-05,0.984452934947,2,0
-0.4,-0.2,-0.3,3869,-6.07852207791e-05,6.12599152257e-05,0.00301087319836,7.25512973597e-05,1.01694951777,2,0
-0.2,0,-0.1,4051,-3.12414862776e-05,5.80079764819e-05,0.00295049736718,6.67538166035e-05,1.27434276414,2,0
0,0.2,0.1,4089,0.000106289417871,5.33027117388e-05,0.00280411185957,5.94673711747e-05,1.19398237254,2,0
0.2,0.4,0.3,3989,-1.60944064996e-05,5.68357821375e-05,0.00289912735209,6.51204944664e-05,0.95779000908,2,0
0.4,0.6,0.5,3720,1.2450839881e-05,7.12698026895e-05,0.00325887953939,9.00081797712e-05,1.1841637285,2,0
0.6,0.8,0.7,3329,-8.7643528643e-05,8.37161883713e-05,0.00345201795951,0.000112833767724,1.3645172803,2,0
0.8,1,0.9,2755,-0.000141646452396,0.000118780193553,0.00400204550493,0.000183974766651,1.00351175837,2,0
