x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,52360,0.000165912736789,2.91916105561e-05,0.00416804474838,4.6917260745e-05,1.09954583031,2,0
-0.8,-0.6,-0.7,66278,8.90967249208e-05,2.15803177392e-05,0.00376847032138,3.11531486408e-05,1.89189243907,2,0
-0.6,-0.4,-0.5,76599,2.51490104014e-05,1.65552298938e-05,0.00337279400371,2.18032421369e-05,2.2468295775,2,0
-0.4,-0.2,-0.3,81803,2.01518917733e-05,1.44519389171e-05,0.00317225053034,1.79169225435e-05,2.29897828267,2,0
-0.2,0,-0.1,84054,3.12216992579e-06,1.39770678231e-05,0.00313424527419,1.72696817527e-05,2.83161866768,2,0
0,0.2,0.1,82812,-2.20376588716e-05,1.37211122328e-05,0.00308554693644,1.65999335402e-05,2.09926825053,2,0
0.2,0.4,0.3,81274,-1.5184067126e-05,1.45387834437e-05,0.00317733663208,1.82169477033e-05,2.81988349084,2,0
0.4,0.6,0.5,75724,-2.04266179761e-05,1.65281475311e-05,0.00335798814845,2.16037133545e-05,1.74723099917,2,0
0.6,0.8,0.7,65999,-5.07516769086e-05,2.06235952119e-05,0.00366795409019,2.91726886074e-05,1.68202122836,2,0
0.8,1,0.9,51411,-0.00014231432735,2.98477694474e-05,0.00420356534075,4.8153482361e-05,1.09265317065,2,0
