x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,21592,0.000213665797945,4.56384526292e-05,0.00416630202767,7.27472623726e-05,1.17548264375,2,0
-0.8,-0.6,-0.7,27574,0.000106535021237,3.43185553678e-05,0.00382335715775,4.99275746298e-05,1.29998628964,2,0
-0.6,-0.4,-0.5,31941,2.96567269206e-05,2.62355947402e-05,0.00341790838242,3.51874375737e-05,1.64490854921,2,0
-0.4,-0.2,-0.3,34415,4.89239413858e-05,2.23776621734e-05,0.00317831885751,2.79700706374e-05,1.95456976324,2,0
-0.2,0,-0.1,35034,1.80941883121e-05,2.15538448841e-05,0.00312477788998,2.65330473475e-05,1.77061879873,2,0
0,0.2,0.1,34799,-4.48120881055e-05,2.11620102538e-05,0.00308410868694,2.55858715957e-05,1.50110273718,2,0
0.2,0.4,0.3,33998,-4.48788779529e-05,2.28704863089e-05,0.00320967588881,2.87140057121e-05,1.82185071495,2,0
0.4,0.6,0.5,31904,-3.15941391585e-05,2.56403642698e-05,0.00337043818064,3.37073028192e-05,1.5352434065,2,0
0.6,0.8,0.7,27396,-4.71144936795e-05,3.15549396469e-05,0.00363786131281,4.41322287851e-05,1.02655754816,2,0
0.8,1,0.9,21145,-0.00017350511057,4.65541868384e-05,0.00419990805837,7.437967036e-05,0.831611262388,2,0
