x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,66495,-1.5138632761e-05,1.47525978317e-05,0.00301201532928,1.82811397541e-05,9.55290535702,2,0
-0.8,-0.6,-0.7,78169,-1.77362042223e-05,1.27271561812e-05,0.00288866477115,1.52963749007e-05,12.9109862012,2,0
-0.6,-0.4,-0.5,85400,9.75470066699e-06,1.16706972026e-05,0.00281072138602,1.38167676421e-05,17.4258117445,2,0
-0.4,-0.2,-0.3,88347,8.76569920981e-06,1.11593847726e-05,0.0027612712946,1.3007919938e-05,18.2657081954,2,0
-0.2,0,-0.1,88454,-1.07083731812e-05,1.08874978476e-05,0.00271958279182,1.24712471374e-05,16.4650112804,2,0
0,0.2,0.1,87413,-9.6667749407e-06,1.10239724531e-05,0.00272946796471,1.28221497545e-05,20.5659668816,2,0
0.2,0.4,0.3,87736,-8.796378075e-06,1.11243511545e-05,0.00275060731009,1.28327018366e-05,15.59577799,2,0
0.4,0.6,0.5,84704,-2.38241198852e-06,1.16504560178e-05,0.0028014784657,1.36787268643e-05,15.199104985,2,0
0.6,0.8,0.7,78452,-8.97598138096e-06,1.27972260952e-05,0.00290214792319,1.54097398997e-05,12.5654796764,2,0
0.8,1,0.9,65973,-3.69835783864e-05,1.47435967366e-05,0.00300284859666,1.8138633903e-05,9.24267052991,2,0
