x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,27539,-0.000191318590445,2.37027694154e-05,0.00306893313528,2.96834935706e-05,4.37725656501,2,0
-0.8,-0.6,-0.7,33039,-0.000198645670653,2.02340042371e-05,0.002941923652,2.45778002337e-05,5.58747829187,2,0
-0.6,-0.4,-0.5,35899,-0.000219578012327,1.85504807887e-05,0.00285950273096,2.21999255961e-05,7.58611154709,2,0
-0.4,-0.2,-0.3,37265,-0.000229600426552,1.77429785822e-05,0.00280549588764,2.0818589332e-05,8.2859403644,2,0
-0.2,0,-0.1,37107,-0.000235703136213,1.72046248195e-05,0.00275417045942,1.98584893483e-05,6.9811192947,2,0
0,0.2,0.1,36950,-0.000234525940576,1.76177334527e-05,0.00279105069205,2.09357331847e-05,9.69496131091,2,0
0.2,0.4,0.3,36942,-0.0002179764703,1.77975678757e-05,0.00280827630013,2.06338085801e-05,6.10100995995,2,0
0.4,0.6,0.5,35988,-0.000221467056644,1.84918090915e-05,0.00285631280457,2.21044604166e-05,7.55336701199,2,0
0.6,0.8,0.7,32774,-0.000219499888173,2.03462709235e-05,0.00294639404856,2.47768546228e-05,5.96952995088,2,0
0.8,1,0.9,27492,-0.000237665851137,2.37787312437e-05,0.00306515450314,2.94779280488e-05,4.08984695916,2,0
