x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,2890,4.09301526752e-05,8.91841012145e-05,0.0034502226273,0.000117422216911,1.12303171329,2,0
-0.8,-0.6,-0.7,3559,0.000260280798868,8.15643052873e-05,0.00344706972602,0.000108160712803,1.47328098991,2,0
-0.6,-0.4,-0.5,3875,3.68156270546e-05,6.19678375539e-05,0.00302766878465,7.41901449069e-05,1.32512362503,2,0
-0.4,-0.2,-0.3,4110,-3.58787534229e-05,5.45450546843e-05,0.00285181373026,6.24666554455e-05,1.3238846898,2,0
-0.2,0,-0.1,4394,-1.98387748283e-05,5.33035288181e-05,0.00287010222464,6.21568803382e-05,1.48824529717,2,0
0,0.2,0.1,4243,-7.64880321577e-05,5.23693631954e-05,0.00280410528083,5.91249882932e-05,1.25676037156,2,0
0.2,0.4,0.3,4144,-3.51014803535e-06,5.48716784333e-05,0.00287266059825,6.36453909332e-05,0.934177714433,2,0
0.4,0.6,0.5,3860,-4.37083598864e-05,6.93954112538e-05,0.00324229404684,8.4825071182e-05,1.29016070121,2,0
0.6,0.8,0.7,3540,-2.64543234205e-05,7.34442294239e-05,0.00326246546923,9.32071694629e-05,1.06777355223,2,0
0.8,1,0.9,2971,-0.000318800759278,0.000109769977559,0.00389306644123,0.000170533882171,1.01977648909,2,0
