x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,51431,0.000142591234924,2.79729794664e-05,0.00405583070408,4.33328619427e-05,1.29361619301,2,0
-0.8,-0.6,-0.7,64787,9.0066459277e-05,2.09691549202e-05,0.00368309516754,2.9720488132e-05,1.34074049689,2,0
-0.6,-0.4,-0.5,74787,3.4131783577e-05,1.61785440549e-05,0.00330351037642,2.10096952301e-05,2.49058680532,2,0
-0.4,-0.2,-0.3,80140,3.71631928299e-05,1.43209065842e-05,0.00313389329507,1.77897041987e-05,3.51276028236,2,0
-0.2,0,-0.1,82593,1.3612024053e-05,1.34276805624e-05,0.0030411940132,1.63211736507e-05,5.42375828285,2,0
0,0.2,0.1,81439,-3.82865488044e-05,1.33636988532e-05,0.00301694915478,1.62282288687e-05,6.4747312446,2,0
0.2,0.4,0.3,79408,-4.4457175156e-05,1.41147055871e-05,0.00309754574049,1.73585305412e-05,3.90197163842,2,0
0.4,0.6,0.5,74196,-1.05128587489e-05,1.62143946991e-05,0.00329980231665,2.12076766947e-05,3.62166299427,2,0
0.6,0.8,0.7,64727,-5.26857001568e-05,2.06133641892e-05,0.00364832810896,2.90476069068e-05,1.41075076712,2,0
0.8,1,0.9,50530,-0.000147030438415,2.88329313394e-05,0.00410377938398,4.51995076506e-05,1.20798413855,2,0
