x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-0.5,0.515384615385,0.00769230769231,0,nan,nan,nan,nan,nan,0,-1
0.515384615385,1.53076923077,1.02307692308,0,nan,nan,nan,nan,nan,0,-1
1.53076923077,2.54615384615,2.03846153846,0,nan,nan,nan,nan,nan,0,-1
2.54615384615,3.56153846154,3.05384615385,0,nan,nan,nan,nan,nan,0,-1
3.56153846154,4.57692307692,4.06923076923,95,0.000416793491358,0.00150506731151,0.00623115374756,0.00260965951876,0.37579291528,2,0
4.57692307692,5.59230769231,5.08461538462,433,4.06977817217e-05,0.000129280207899,0.0019996979384,0.000131142341813,0.978152352716,6,0
5.59230769231,6.60769230769,6.1,1170,-6.67316912155e-05,7.56963535163e-05,0.00208464583624,7.99622958475e-05,1.21488971558,4,0
6.60769230769,7.62307692308,7.11538461538,2247,-1.97663569598e-06,5.61288472606e-05,0.00220469048302,5.75590786365e-05,1.29999260038,4,0
7.62307692308,8.63846153846,8.13076923077,3860,-2.70483283672e-05,4.42114624943e-05,0.00227653742324,4.55540101231e-05,1.12643323444,10,0
8.63846153846,9.65384615385,9.14615384615,5673,-4.59489268119e-05,3.46405161109e-05,0.00216869209666,3.67539948526e-05,1.57165357793,4,0
9.65384615385,10.6692307692,10.1615384615,7718,2.07034551151e-05,2.89191994397e-05,0.00213815379416,3.0051773719e-05,1.68674637337,3,0
10.6692307692,11.6846153846,11.1769230769,9901,5.11207869777e-05,2.33918961924e-05,0.00194518814287,2.44418846368e-05,1.64397019799,4,0
11.6846153846,12.7,12.1923076923,12154,-2.53711871358e-06,2.18821187138e-05,0.00201531575783,2.28555713295e-05,1.74901993126,4,0
12.7,13.7153846154,13.2076923077,13963,3.51170990683e-06,1.96728752969e-05,0.00193743447377,2.0097847864e-05,1.3314657582,4,0
13.7153846154,14.7307692308,14.2230769231,16346,1.82601116564e-05,1.74336672794e-05,0.0018561533049,1.7729320873e-05,1.19197765574,5,0
14.7307692308,15.7461538462,15.2384615385,18145,6.74764195121e-09,1.62826278088e-05,0.00183858722152,1.65811076845e-05,1.79095960998,4,0
15.7461538462,16.7615384615,16.2538461538,19795,9.07950523048e-07,1.5162775063e-05,0.00181224880072,1.53313512104e-05,1.75572843648,3,0
16.7615384615,17.7769230769,17.2692307692,21639,2.61829658325e-05,1.43768646539e-05,0.00176856526302,1.45235514601e-05,1.34379738574,4,0
17.7769230769,18.7923076923,18.2846153846,23017,1.17395641988e-05,1.35282883704e-05,0.00173839652877,1.34064614333e-05,1.20303355827,4,0
18.7923076923,19.8076923077,19.3,24427,-1.63408028729e-05,1.27778345073e-05,0.00167611171962,1.28959908006e-05,1.73818545398,4,0
19.8076923077,20.8230769231,20.3153846154,25664,7.06517578188e-06,1.22069151346e-05,0.00163656195584,1.21481305694e-05,1.82442089893,4,0
