x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1.5,-1.48,-1.49,37598,-3.3811188273e-05,2.54752938355e-05,0.00375665370825,2.8943073059e-05,18.9466113081,7,0
-1.48,-1.46,-1.47,39077,1.2657401712e-05,2.53929078951e-05,0.0039117699399,2.83517177013e-05,18.988954311,5,0
-1.46,-1.44,-1.45,40667,-5.18232576253e-05,2.3564289596e-05,0.00366204684456,2.56677744882e-05,14.5982560135,6,0
-1.44,-1.42,-1.43,42310,7.4003482726e-05,2.41301168987e-05,0.00377409619986,2.69224124249e-05,16.6267551529,7,0
-1.42,-1.4,-1.41,43859,2.1719468765e-05,2.33609629234e-05,0.00373897325717,2.6153534225e-05,18.7460902716,6,0
-1.4,-1.38,-1.39,46029,-2.27311798052e-05,2.32033592333e-05,0.00388736237649,2.57041965129e-05,21.4311382738,5,0
-1.38,-1.36,-1.37,47085,2.01881878008e-05,2.23767433721e-05,0.00371710870453,2.48333691484e-05,20.7176282331,6,0
-1.36,-1.34,-1.35,49104,-4.6583587984e-06,2.24826850448e-05,0.00389386937257,2.4861190341e-05,23.7480626074,5,0
-1.34,-1.32,-1.33,50949,2.49972616028e-05,2.19344222536e-05,0.0037704986779,2.44485472756e-05,20.3604850692,7,0
-1.32,-1.3,-1.31,52715,-2.20329684662e-05,2.11671270584e-05,0.00373012167983,2.37579123341e-05,23.4641299308,6,0
-1.3,-1.28,-1.29,54544,4.57010329214e-06,2.07180540129e-05,0.00372079390918,2.30586961315e-05,24.1421622571,5,0
-1.28,-1.26,-1.27,56189,1.90484996104e-05,2.02143756828e-05,0.00369566079115,2.25558731597e-05,26.1851642843,5,0
-1.26,-1.24,-1.25,58244,2.74582930709e-06,2.00906461242e-05,0.00372480160382,2.25959456105e-05,27.1624473556,5,0
-1.24,-1.22,-1.23,59775,-4.35628746843e-05,1.99181287176e-05,0.00373393312252,2.22778381475e-05,26.3550856835,6,0
-1.22,-1.2,-1.21,61832,1.28448035912e-05,1.94364406225e-05,0.00371658160085,2.14805519983e-05,24.4801998211,6,0
-1.2,-1.18,-1.19,63810,-2.69955166332e-05,1.92268982848e-05,0.00372880401279,2.15599559561e-05,27.839726435,6,0
-1.18,-1.16,-1.17,65176,-5.13993425622e-07,1.88191705444e-05,0.00370636837462,2.08126911578e-05,26.5690266797,5,0
-1.16,-1.14,-1.15,67857,1.84956301085e-05,1.84667181211e-05,0.00370581381622,2.05153288252e-05,28.7101389847,5,0
-1.14,-1.12,-1.13,69676,-3.002603143e-05,1.80652212379e-05,0.00369199388561,1.99153236929e-05,28.6631817536,5,0
-1.12,-1.1,-1.11,71428,-2.13502563407e-05,1.76891340346e-05,0.00366942607439,1.95554903768e-05,33.6513232051,5,0
-1.1,-1.08,-1.09,72737,-1.93773451366e-06,1.750653608e-05,0.0036638920592,1.93721988839e-05,33.6538122634,5,0
-1.08,-1.06,-1.07,75324,2.68281370745e-05,1.7317519407e-05,0.00368181883449,1.91046095242e-05,32.0496347556,5,0
-1.06,-1.04,-1.05,77361,6.80548192765e-06,1.6723292006e-05,0.00352487169423,1.88394005244e-05,34.9026921881,7,0
-1.04,-1.02,-1.03,79882,2.1181803591e-06,1.62854453832e-05,0.00349835637456,1.82886618427e-05,37.2135706711,6,0
-1.02,-1,-1.01,80880,2.39013034484e-05,1.63847190142e-05,0.0035344704766,1.82873420971e-05,34.1669401679,7,0
-1,-0.98,-0.99,83631,-1.08943959347e-05,1.60467622119e-05,0.00352709559815,1.79055838139e-05,32.6026265961,7,0
-0.98,-0.96,-0.97,85102,7.22271246367e-06,1.59626341438e-05,0.00363364608026,1.76530253289e-05,41.2892109868,5,0
-0.96,-0.94,-0.95,87256,1.53639679916e-05,1.57341666967e-05,0.00352798795232,1.74331435447e-05,32.5085647752,7,0
-0.94,-0.92,-0.93,89673,-6.29349970513e-06,1.55605627084e-05,0.00363779387543,1.72025383088e-05,45.5562842915,5,0
-0.92,-0.9,-0.91,91578,3.50928165541e-06,1.51188937001e-05,0.00348976521578,1.7058496592e-05,46.7987311316,6,0
-0.9,-0.88,-0.89,93610,-3.60009448858e-06,1.48148644903e-05,0.00347193972148,1.65244732048e-05,42.2992926237,5,0
-0.88,-0.86,-0.87,96192,2.46397624618e-06,1.46322714021e-05,0.00347329854794,1.62816136091e-05,45.6127171508,5,0
-0.86,-0.84,-0.85,98061,3.5277892476e-06,1.44487828769e-05,0.00347515901985,1.60693571608e-05,43.4155667479,5,0
-0.84,-0.82,-0.83,100223,1.83353787678e-06,1.41499941223e-05,0.0034469979446,1.57820297736e-05,50.7939833963,5,0
-0.82,-0.8,-0.81,102671,2.0239306133e-05,1.40805001592e-05,0.00346310484467,1.56665126391e-05,50.9365414452,5,0
