component,series,x_low,x_high,x_center,sigma_cm,sigma_error_cm
xy,data_iterative_gaussian,0.2,0.465,0.3325,0.00782276,5.03897e-05
xy,data_iterative_gaussian,0.465,0.73,0.5975,0.00632418,2.86507e-05
xy,data_iterative_gaussian,0.73,0.995,0.8625,0.00572359,2.82131e-05
xy,data_iterative_gaussian,0.995,1.26,1.1275,0.00546055,3.32892e-05
xy,data_iterative_gaussian,1.26,1.525,1.3925,0.00537674,4.2615e-05
xy,data_iterative_gaussian,1.525,1.79,1.6575,0.00531265,5.46266e-05
xy,data_iterative_gaussian,1.79,2.055,1.9225,0.00535818,7.35257e-05
xy,data_iterative_gaussian,2.055,2.32,2.1875,0.00510867,8.20105e-05
xy,data_iterative_gaussian,2.32,2.585,2.4525,0.00539149,0.000122102
xy,data_iterative_gaussian,2.585,2.85,2.7175,0.00564476,0.000177653
xy,data_iterative_gaussian,2.85,3.115,2.9825,0.0055444,0.000207114
xy,data_iterative_gaussian,3.115,3.38,3.2475,0.00514063,0.000205109
xy,data_iterative_gaussian,3.38,3.645,3.5125,0.00537516,0.000299089
xy,data_iterative_gaussian,3.645,3.91,3.7775,0.00537127,0.000343665
xy,data_iterative_gaussian,3.91,4.175,4.0425,0.00606174,0.000599492
xy,data_iterative_gaussian,4.175,4.44,4.3075,0.00530818,0.000477046
xy,data_iterative_gaussian,4.44,4.705,4.5725,0.00498504,0.000505327
xy,data_iterative_gaussian,4.705,4.97,4.8375,0.00654134,0.00120918
xy,data_iterative_gaussian,4.97,5.235,5.1025,0.0043048,0.000463827
xy,data_iterative_gaussian,5.235,5.5,5.3675,0.00505999,0.000795809
xy,fastsim_reconstructed_dca,0.09375,0.1125,0.103125,0.0137478,0.000514906
xy,fastsim_reconstructed_dca,0.1125,0.13125,0.121875,0.0180333,0.000134265
xy,fastsim_reconstructed_dca,0.13125,0.15,0.140625,0.0179261,7.46504e-05
xy,fastsim_reconstructed_dca,0.15,0.16875,0.159375,0.0169724,5.25155e-05
xy,fastsim_reconstructed_dca,0.16875,0.1875,0.178125,0.0157653,4.30657e-05
xy,fastsim_reconstructed_dca,0.1875,0.20625,0.196875,0.0143933,3.77084e-05
xy,fastsim_reconstructed_dca,0.20625,0.225,0.215625,0.0131455,3.43414e-05
xy,fastsim_reconstructed_dca,0.225,0.24375,0.234375,0.012063,3.12727e-05
xy,fastsim_reconstructed_dca,0.24375,0.2625,0.253125,0.0112133,2.95761e-05
xy,fastsim_reconstructed_dca,0.2625,0.28125,0.271875,0.0104588,2.76065e-05
xy,fastsim_reconstructed_dca,0.28125,0.3,0.290625,0.00984946,2.63201e-05
xy,fastsim_reconstructed_dca,0.3,0.31875,0.309375,0.00921358,2.50138e-05
xy,fastsim_reconstructed_dca,0.31875,0.3375,0.328125,0.00871545,2.40253e-05
xy,fastsim_reconstructed_dca,0.3375,0.35625,0.346875,0.00825356,2.34155e-05
xy,fastsim_reconstructed_dca,0.35625,0.375,0.365625,0.00783431,2.30086e-05
xy,fastsim_reconstructed_dca,0.375,0.39375,0.384375,0.00751393,2.26196e-05
xy,fastsim_reconstructed_dca,0.39375,0.4125,0.403125,0.00723037,2.21312e-05
xy,fastsim_reconstructed_dca,0.4125,0.43125,0.421875,0.00687047,2.18303e-05
xy,fastsim_reconstructed_dca,0.43125,0.45,0.440625,0.00663079,2.1978e-05
xy,fastsim_reconstructed_dca,0.45,0.46875,0.459375,0.00636761,2.17898e-05
xy,fastsim_reconstructed_dca,0.46875,0.4875,0.478125,0.00614352,2.17237e-05
xy,fastsim_reconstructed_dca,0.4875,0.50625,0.496875,0.00597834,2.1905e-05
xy,fastsim_reconstructed_dca,0.50625,0.54375,0.525,0.00565038,1.57685e-05
xy,fastsim_reconstructed_dca,0.54375,0.58125,0.5625,0.0053095,1.62253e-05
xy,fastsim_reconstructed_dca,0.58125,0.61875,0.6,0.00502248,1.66074e-05
xy,fastsim_reconstructed_dca,0.61875,0.65625,0.6375,0.00476769,1.73477e-05
xy,fastsim_reconstructed_dca,0.65625,0.69375,0.675,0.00454741,1.85839e-05
xy,fastsim_reconstructed_dca,0.69375,0.73125,0.7125,0.00432402,1.96066e-05
xy,fastsim_reconstructed_dca,0.73125,0.76875,0.75,0.00416357,2.07109e-05
xy,fastsim_reconstructed_dca,0.76875,0.80625,0.7875,0.00402922,2.20035e-05
xy,fastsim_reconstructed_dca,0.80625,0.84375,0.825,0.00388788,2.43434e-05
xy,fastsim_reconstructed_dca,0.84375,0.88125,0.8625,0.00369544,2.48501e-05
xy,fastsim_reconstructed_dca,0.88125,0.91875,0.9,0.00360139,2.81657e-05
xy,fastsim_reconstructed_dca,0.91875,0.95625,0.9375,0.00350008,3.05288e-05
xy,fastsim_reconstructed_dca,0.95625,0.99375,0.975,0.00335166,3.22008e-05
xy,fastsim_reconstructed_dca,0.99375,1.0875,1.04062,0.00324464,2.41572e-05
xy,fastsim_reconstructed_dca,1.0875,1.18125,1.13437,0.00307404,2.95276e-05
xy,fastsim_reconstructed_dca,1.18125,1.275,1.22812,0.00286079,3.85699e-05
xy,fastsim_reconstructed_dca,1.275,1.36875,1.32187,0.00270564,4.76451e-05
xy,fastsim_reconstructed_dca,1.36875,1.4625,1.41562,0.00268747,7.09755e-05
xy,fastsim_reconstructed_dca,1.4625,1.55625,1.50937,0.00234062,7.85242e-05
xy,fastsim_reconstructed_dca,1.55625,1.65,1.60312,0.00243969,0.000117266
xy,fastsim_reconstructed_dca,1.65,1.74375,1.69687,0.00212327,0.00018236
xy,fastsim_reconstructed_dca,1.74375,1.8375,1.79062,0.00209725,0.00020194
