x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,26543,0.000124639057864,2.5490863455e-05,0.00317521923005,3.20905635844e-05,1.86545130107,2,0,0,0,0.00701574606613,0.00297931303967
-0.8,-0.6,-0.7,31630,0.000169519461508,2.1674463296e-05,0.0030317100239,2.64022025918e-05,2.71767070132,2,0,0,0,0.00635835407676,0.00270014436571
-0.6,-0.4,-0.5,35586,0.0002120082443,1.99961532854e-05,0.00299100363499,2.39992728397e-05,2.93109774446,2,0,0,0,0.00632247792886,0.00268490916844
-0.4,-0.2,-0.3,37096,0.000210329276065,1.8760146859e-05,0.00291209824773,2.19922013453e-05,3.37973421324,2,0,0,0,0.00628879296288,0.00267060448047
-0.2,0,-0.1,37213,0.000189990787423,1.81652222068e-05,0.00285903824717,2.09982060523e-05,3.33592583719,2,0,0,0,0.00597356137442,0.00253673795036
0,0.2,0.1,36590,0.000203606062919,1.84078269867e-05,0.00286404815348,2.1330799774e-05,3.34202118009,2,0,0,0,0.00607575743995,0.00258013662354
0.2,0.4,0.3,36560,0.000179995716646,1.88870784707e-05,0.00291191029717,2.21499906313e-05,3.26277302125,2,0,0,0,0.00588851527454,0.00250062219703
0.4,0.6,0.5,34943,0.000173797834838,1.96304212562e-05,0.00294403040199,2.31844740691e-05,3.0878975199,2,0,0,0,0.00628928557371,0.00267081367303
0.6,0.8,0.7,32228,0.000161054994609,2.14725606503e-05,0.00303595630367,2.58723221299e-05,2.59708515928,2,0,0,0,0.00645227258305,0.00274002788313
0.8,1,0.9,26066,0.000133001047205,2.49287494823e-05,0.00311638716233,3.07552855814e-05,2.6434233295,2,0,0,0,0.006389476898,0.00271336101099
