x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,2967,5.77923251875e-05,0.000120736014916,0.00412176412426,0.000199667533864,1.72551106333,2,0,0,0,0.00615126797845,0.00261220299679
-0.8,-0.6,-0.7,3615,0.000293397437698,8.82957655761e-05,0.00363863169854,0.000124519611147,1.66698600215,2,0,0,0,0.00632708319191,0.0026868648436
-0.6,-0.4,-0.5,3943,-6.74229669759e-07,6.09390191865e-05,0.00302055329325,7.1032128117e-05,0.829370514598,2,0,0,0,0.0065499998536,0.00278152883381
-0.4,-0.2,-0.3,4169,-3.74747868376e-05,5.93960570974e-05,0.0030169811777,7.19149995906e-05,1.78044116155,2,0,0,0,0.00575701249404,0.00244477810789
-0.2,0,-0.1,4356,-6.42207325186e-05,5.69497922032e-05,0.00298568291489,6.62109900222e-05,0.875248315223,2,0,0,0,0.0058976189158,0.00250448815752
0,0.2,0.1,4215,-9.83144103014e-06,5.26340269774e-05,0.00281386540286,5.74981580633e-05,0.939242270454,2,0,0,0,0.00612024442842,0.00259902850811
0.2,0.4,0.3,4147,4.11946221758e-05,5.76683156646e-05,0.0029653322854,6.79085065833e-05,0.851385524527,2,0,0,0,0.0058815788159,0.00249767655426
0.4,0.6,0.5,3919,1.65245545729e-05,6.73766923119e-05,0.00320009278913,8.32918753073e-05,0.922157888742,2,0,0,0,0.00707930091703,0.00300630229986
0.6,0.8,0.7,3531,-5.90966572071e-05,7.33716562295e-05,0.00326917911583,9.13192917112e-05,0.670644133356,2,0,0,0,0.00674479151591,0.00286424923647
0.8,1,0.9,2989,-0.000255561979273,0.000105078905981,0.00381838274863,0.000155457672998,1.09574030335,2,0,0,0,0.0085892855223,0.00364753372154
