x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,21275,0.000132469197061,4.73152242258e-05,0.00424811319311,7.78130586447e-05,1.16248370039,2,0,0,0,nan,nan
-0.8,-0.6,-0.7,27228,7.64395775702e-05,3.44696261579e-05,0.00381738110267,5.06756106352e-05,1.39513046147,2,0,0,0,0.00867968730599,0.00368592382438
-0.6,-0.4,-0.5,32063,4.70801044763e-05,2.60335247844e-05,0.00340621581391,3.43507221311e-05,1.28490564469,2,0,0,0,0.00773018764215,0.00328270844244
-0.4,-0.2,-0.3,34288,2.0941787302e-05,2.26190270089e-05,0.00319675861347,2.80394456434e-05,1.47323011677,2,0,0,0,0.00730765989764,0.00310327743012
-0.2,0,-0.1,35358,-1.60573257932e-05,2.187982897e-05,0.00316239688291,2.73027365446e-05,1.87829048722,2,0,0,0,0.00689009773756,0.00292595510735
0,0.2,0.1,34614,6.39190353691e-06,2.20866969976e-05,0.0031607132464,2.72944101793e-05,1.24515152016,2,0,0,0,0.00681504574555,0.00289408346087
0.2,0.4,0.3,33955,-6.43408888773e-06,2.26028854656e-05,0.00318608504031,2.85463314312e-05,1.72237899492,2,0,0,0,0.006963418962,0.00295709176452
0.4,0.6,0.5,31296,7.82979959599e-06,2.57486057493e-05,0.00336041240875,3.37206305856e-05,1.60673119991,2,0,0,0,0.00756187749812,0.00321123370517
0.6,0.8,0.7,27373,-6.18955263096e-05,3.38953518353e-05,0.00378834452028,4.8934286224e-05,0.971408294949,2,0,0,0,0.00866349186985,0.00367904625589
0.8,1,0.9,20761,-0.000129520706439,5.00508261569e-05,0.00435127870364,8.34831813915e-05,1.01270324062,2,0,0,0,nan,nan
