x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,2967,6.93742878602e-05,0.000120481780332,0.00411739795818,0.000198248349594,1.68527078477,2,0,0,0,0.00615815958458,0.00261512959245
-0.8,-0.6,-0.7,3613,0.000272814832299,8.82655870082e-05,0.00363981194727,0.000124656808726,1.63110541412,2,0,0,0,0.00634285700108,0.0026935633636
-0.6,-0.4,-0.5,3948,-1.27432549312e-06,6.1226795385e-05,0.00303079639122,7.17000439407e-05,0.798683253229,2,0,0,0,0.00653749985388,0.00277622057267
-0.4,-0.2,-0.3,4169,-3.05141287272e-05,5.91439958675e-05,0.0030088350609,7.12495070717e-05,1.82886503619,2,0,0,0,0.00574700137079,0.00244052677528
-0.2,0,-0.1,4355,-6.30863363868e-05,5.71565691889e-05,0.00299225625833,6.67305210051e-05,0.865978751685,2,0,0,0,0.0058993054237,0.00250520435148
0,0.2,0.1,4213,-1.2551975976e-05,5.24628002004e-05,0.00280763749401,5.72447771477e-05,0.939559914192,2,0,0,0,0.00610568168171,0.00259284427898
0.2,0.4,0.3,4148,4.09177333742e-05,5.76256833141e-05,0.00296437075719,6.75880020184e-05,0.829606407139,2,0,0,0,0.00592631565701,0.00251667454148
0.4,0.6,0.5,3919,1.99237991247e-05,6.74143264485e-05,0.00320029779249,8.34697415891e-05,0.964452933576,2,0,0,0,0.00707954529631,0.00300640607818
0.6,0.8,0.7,3532,-6.22468972336e-05,7.35816087085e-05,0.00327432668347,9.1649209158e-05,0.719228049473,2,0,0,0,0.00684829044522,0.00290820118495
0.8,1,0.9,2987,-0.000244449018795,0.000104357018188,0.0038046777057,0.000154124687589,1.11287079035,2,0,0,0,0.0073571426927,0.00312429083841
