x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,36383,-0.00859063758745,6.90136519514e-05,0.0111829599694,7.06141249381e-05,2.40000605295,3,0,0,0,0.025102225784,0.0106599337972
-0.8,-0.6,-0.7,41442,-0.00874131377203,6.2133902477e-05,0.0108765027861,6.1927824549e-05,3.28557938982,3,0,0,0,0.0250792494394,0.010650176642
-0.6,-0.4,-0.5,45285,-0.00886033694149,5.94009410138e-05,0.0108521817744,5.90173475953e-05,4.04536838169,3,0,0,0,0.0244278117511,0.0103735365269
-0.4,-0.2,-0.3,45676,-0.00875929588917,6.00960300231e-05,0.0109708936204,6.02554713054e-05,3.66640369216,3,0,0,0,0.0248869390149,0.010568509924
-0.2,0,-0.1,45115,-0.00869971152783,5.93238896329e-05,0.0108042120243,5.87973607501e-05,5.45011368396,3,0,0,0,0.0237522527872,0.0100866530492
0,0.2,0.1,44357,-0.00868587105513,6.06064640299e-05,0.0109060147212,6.11084050421e-05,5.39850378822,3,0,0,0,0.0235080122951,0.00998293366195
0.2,0.4,0.3,45271,-0.00884777030437,6.04880174219e-05,0.0109711785303,6.12980914182e-05,5.30412937725,3,0,0,0,0.0237137942148,0.0100703211972
0.4,0.6,0.5,44158,-0.00891878582886,6.04557795659e-05,0.0107756257394,6.18223601638e-05,4.6429086553,3,0,0,0,0.0244847148999,0.0103977010693
0.6,0.8,0.7,42005,-0.00879291167009,6.27398315459e-05,0.0109898999119,6.31169506577e-05,3.22857519484,3,0,0,0,0.0246604390092,0.0104723242277
0.8,1,0.9,35460,-0.00866655282141,7.08168990621e-05,0.0112678410797,7.21335023374e-05,2.05450836912,3,0,0,0,0.0255843342724,0.0108646664218
