x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,3439,0.000153591251977,5.57538839898e-05,0.00272794733825,6.36824954181e-05,1.43668013965,2,0,0,0,0.00482878777086,0.0020505973614
-0.8,-0.6,-0.7,3966,0.000113575647069,4.6066386594e-05,0.00252173508819,5.05223235376e-05,1.50803549864,2,0,0,0,0.00490975924855,0.00208498278201
-0.6,-0.4,-0.5,4272,9.9671223868e-05,4.29137235379e-05,0.00243656869183,4.58107320319e-05,1.91938548743,3,0,0,0,0.00449631741177,0.00190941019944
-0.4,-0.2,-0.3,4224,0.000112257193401,4.12043059827e-05,0.00229969831428,4.63285842373e-05,3.17134180252,3,0,0,0,0.00367786553044,0.00156184568679
-0.2,0,-0.1,4250,0.000215312950011,4.05413531558e-05,0.00225776630567,4.34610345848e-05,1.92650691879,5,0,0,0,0.00445738626401,0.00189287766319
0,0.2,0.1,4233,0.000210168032215,3.96451897818e-05,0.00221614790049,4.43537333732e-05,2.84702894272,4,0,0,0,0.00374791658289,0.00159159362978
0.2,0.4,0.3,4345,0.000108676152528,4.20199043598e-05,0.00241595619713,4.53788492609e-05,1.83923010716,3,0,0,0,0.00422734365551,0.00179518756199
0.4,0.6,0.5,4129,0.000137557334645,4.43215120433e-05,0.00246392258358,4.68017497405e-05,1.3801052853,3,0,0,0,0.00486562489124,0.00206624064611
0.6,0.8,0.7,3981,0.000235366438304,4.65199890806e-05,0.0025143036654,5.158371463e-05,1.65745448454,3,0,0,0,0.00450781239924,0.00191429167117
0.8,1,0.9,3463,8.67793088831e-05,5.32247445821e-05,0.00264534052567,6.05114360983e-05,2.28853478187,2,0,0,0,0.00463624328262,0.00196883124571
