x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,1877,0.000181465799807,6.67643494245e-05,0.00246694115999,7.27807681955e-05,1.8067659047,3,0,0,0,0.00403600534457,0.00171393366263
-0.8,-0.6,-0.7,2002,0.000298436145351,6.60006696362e-05,0.00250037214748,7.33251319196e-05,1.82709990954,3,0,0,0,0.0033481770085,0.00142183986229
-0.6,-0.4,-0.5,2095,0.000252932458883,5.89338112683e-05,0.00233594548905,6.33913124475e-05,1.48204404878,3,0,0,0,0.00358385571927,0.00152192339575
-0.4,-0.2,-0.3,2143,0.000304776687774,5.66146473076e-05,0.0022351032243,6.48125745711e-05,2.24028017328,4,0,0,0,0.00404305546519,0.0017169275732
-0.2,0,-0.1,2139,0.000102881794333,5.61751163119e-05,0.00220989425317,6.20497116296e-05,1.30763064153,4,0,0,0,0.00383947764076,0.00163047603103
0,0.2,0.1,2086,0.000252168881622,5.55054430778e-05,0.00214575259191,5.88367577104e-05,0.987320696598,4,0,0,0,0.00407499990892,0.00173049312943
0.2,0.4,0.3,2088,0.000114709106998,5.36398070322e-05,0.00206330014895,5.9177445765e-05,1.90268205663,4,0,0,0,0.00331974630261,0.00140976645313
0.4,0.6,0.5,2047,0.000106156312561,5.97691482675e-05,0.00231355607046,6.61110602694e-05,1.66655946157,5,0,0,0,0.00348076915297,0.00147814656171
0.6,0.8,0.7,1941,0.000196674359973,6.42266254568e-05,0.00243199407674,6.92237176836e-05,1.61700147512,3,0,0,0,0.0038497473887,0.00163483719143
0.8,1,0.9,1805,0.000344579912819,7.14158726559e-05,0.00251528018427,8.13828470288e-05,2.13099452444,3,0,0,0,0.00403571419551,0.00171381002301
