x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,2249,-0.000225203478022,6.71921046378e-05,0.00267313979408,7.66036292125e-05,1.54719653784,2,0,0,0,0.00410032885572,0.00174124934278
-0.8,-0.6,-0.7,2465,-0.000442089026336,5.8762190005e-05,0.00245383904842,6.41365599898e-05,1.9090441721,3,0,0,0,0.00427878778315,0.00181703387154
-0.6,-0.4,-0.5,2599,-0.000279475232589,5.0289258774e-05,0.00217996600631,5.48876434488e-05,1.87489802092,3,0,0,0,0.00368209126385,0.00156364019054
-0.4,-0.2,-0.3,2571,-0.000303850067992,5.30638989954e-05,0.00234043799598,5.47846922268e-05,1.05893329191,3,0,0,0,0.00394642848322,0.00167589387206
-0.2,0,-0.1,2516,-0.000381179160499,5.47709737155e-05,0.00230040335085,6.15204284117e-05,2.91310537783,4,0,0,0,0.00338707721898,0.00143835926069
0,0.2,0.1,2459,-0.000308857119778,5.41739060547e-05,0.00233525216227,6.08882124037e-05,1.98392783717,2,0,0,0,0.00414364025826,0.00175964200197
0.2,0.4,0.3,2679,-0.0002827758045,5.01976876404e-05,0.0022267139569,5.42632927177e-05,2.08096957963,4,0,0,0,0.00310999993049,0.00132069536995
0.4,0.6,0.5,2623,-0.000281918627233,5.32625155688e-05,0.0023323035332,6.12838345402e-05,2.71637495841,3,0,0,0,0.0034876659562,0.00148107536438
0.6,0.8,0.7,2512,-0.000243762228227,5.72576055314e-05,0.00246834110158,6.40208677636e-05,1.65455929644,3,0,0,0,0.00439166656851,0.00186496907814
0.8,1,0.9,2357,-0.000418407068271,6.67745452698e-05,0.00266725441909,7.90334016816e-05,1.27331458067,10,0,0,0,0.00476111100469,0.00202185768496
