x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,27371,0.000172229801364,2.39209990608e-05,0.0030811736344,3.00005861036e-05,4.12999928134,2,0,0,0,0.00625459441688,0.00265608169514
-0.8,-0.6,-0.7,32159,0.000194463754636,2.07647853758e-05,0.00296615163258,2.54040958769e-05,5.95845892728,2,0,0,0,0.00579013394747,0.00245884349412
-0.6,-0.4,-0.5,35736,0.000269511618467,1.92966979432e-05,0.00291502892027,2.32261381531e-05,6.5799753509,2,0,0,0,0.0056175111357,0.00238553733549
-0.4,-0.2,-0.3,37183,0.000271413430648,1.78638652361e-05,0.00282043031563,2.08762791378e-05,6.25454582585,2,0,0,0,0.0057209309878,0.00242945570297
-0.2,0,-0.1,37377,0.000242334417858,1.75807196906e-05,0.00279663622697,2.04162383321e-05,6.73968578693,2,0,0,0,0.00557222209767,0.00236630485183
0,0.2,0.1,36777,0.000224134909324,1.7633391458e-05,0.0027886849774,2.05560843585e-05,7.44034376417,2,0,0,0,0.00533981931975,0.00226761247896
0.2,0.4,0.3,36747,0.000231374174889,1.79538245849e-05,0.00282060555179,2.09247535697e-05,5.79304729744,2,0,0,0,0.00571521726356,0.00242702930769
0.4,0.6,0.5,35137,0.000246157285088,1.87196746425e-05,0.00285634831677,2.19996982689e-05,5.44679012259,2,0,0,0,0.00547737878094,0.00232602860357
0.6,0.8,0.7,32709,0.000219473638698,2.09509936208e-05,0.00299692619151,2.56911426504e-05,4.78920179808,2,0,0,0,0.00620307329369,0.00263420268859
0.8,1,0.9,26856,0.000173715759552,2.39695244128e-05,0.0030681107859,2.99023375603e-05,4.6113739794,2,0,0,0,0.00636744419808,0.00270400458481
