x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,27544,-0.00018211863303,2.3584166945e-05,0.00306022007924,2.9454309123e-05,4.33688177521,2,0,0,0,0.0064548467945,0.00274112105008
-0.8,-0.6,-0.7,32978,-0.00020624579936,2.03190801947e-05,0.00294700041766,2.47288229597e-05,5.6834268746,2,0,0,0,0.00603117395426,0.00256120376038
-0.6,-0.4,-0.5,35970,-0.000218945961317,1.85121722971e-05,0.00285776988373,2.21145459812e-05,7.63500907433,2,0,0,0,0.00551883305923,0.00234363261471
-0.4,-0.2,-0.3,37257,-0.000225339845857,1.7716588568e-05,0.00280296125993,2.07881200592e-05,8.37452056534,2,0,0,0,0.00545776760048,0.00231770050203
-0.2,0,-0.1,37097,-0.000235283666959,1.72181443668e-05,0.0027553609994,1.98891020665e-05,7.0173507558,2,0,0,0,0.00534890698427,0.00227147165476
0,0.2,0.1,37035,-0.000234792610747,1.7627635607e-05,0.00279438270577,2.09353464706e-05,9.42088285239,2,0,0,0,0.00518191240014,0.00220055558434
0.2,0.4,0.3,36935,-0.000212597742117,1.78062559767e-05,0.00280934321513,2.06929162075e-05,6.29293840477,2,0,0,0,0.00569253360485,0.00241739644477
0.4,0.6,0.5,35993,-0.000219075265697,1.84883122644e-05,0.00285633241897,2.21006657602e-05,7.38135234671,2,0,0,0,0.00577972597178,0.00245442363379
0.6,0.8,0.7,32765,-0.000223287922226,2.03079226602e-05,0.00294238056459,2.46856258605e-05,5.8892368878,2,0,0,0,0.00609036782924,0.00258634108461
0.8,1,0.9,27478,-0.000240880090314,2.37937259764e-05,0.00306579780477,2.95147459824e-05,4.17097656581,2,0,0,0,0.00624628070218,0.00265255118558
