x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,2888,4.24428499472e-05,8.94594174945e-05,0.00345623163222,0.000117902208983,1.08544474097,2,0,0,0,0.00652857128265,0.00277242895758
-0.8,-0.6,-0.7,3557,0.000282529920721,8.10381508105e-05,0.00342977876374,0.000106574161553,1.44096116122,2,0,0,0,0.00643218939871,0.00273149933999
-0.6,-0.4,-0.5,3877,3.19210826936e-05,6.17628027187e-05,0.00302265220643,7.38744714319e-05,1.29860319027,2,0,0,0,0.0061463066808,0.00261009612766
-0.4,-0.2,-0.3,4107,-4.05229197922e-05,5.44448675437e-05,0.00284805357278,6.21712515591e-05,1.28905841756,2,0,0,0,0.00590840067765,0.00250906675022
-0.2,0,-0.1,4398,-2.71742532559e-05,5.37887212983e-05,0.00288731402146,6.32771952002e-05,1.49653552343,2,0,0,0,0.00527499988209,0.00224008619822
0,0.2,0.1,4243,-7.42173775532e-05,5.21385632758e-05,0.00279689803637,5.86792596084e-05,1.2242586862,2,0,0,0,0.00530729154804,0.00225379920615
0.2,0.4,0.3,4143,-5.3557097458e-06,5.51032506777e-05,0.00287983792068,6.40668269668e-05,0.939100287666,2,0,0,0,0.00600217377888,0.0025488885198
0.4,0.6,0.5,3859,-3.80081948898e-05,6.92095420348e-05,0.00323660928086,8.43739658646e-05,1.32043939141,2,0,0,0,0.00701409298048,0.00297861103882
0.6,0.8,0.7,3541,-2.97493037758e-05,7.35755878362e-05,0.00326697468025,9.36639658842e-05,1.04008685262,2,0,0,0,0.00668607939601,0.00283931649478
0.8,1,0.9,2973,-0.000323093021858,0.000110455014471,0.00390716380896,0.000172666865935,1.04281164255,2,0,0,0,0.0069895831771,0.00296820268366
