x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,21443,0.000224663819548,4.50608848722e-05,0.00412670207899,7.12751912723e-05,1.13043861588,2,0,0,0,nan,nan
-0.8,-0.6,-0.7,27251,0.00011533171786,3.32193508541e-05,0.00373926273372,4.75789982329e-05,1.07373552139,2,0,0,0,0.00816860446858,0.00346888692659
-0.6,-0.4,-0.5,31505,8.05123891725e-05,2.56405695681e-05,0.00335638107006,3.35032845321e-05,1.02814944288,2,0,0,0,0.00740196061887,0.00314332325928
-0.4,-0.2,-0.3,33951,6.6640524757e-05,2.25239335338e-05,0.00317617187022,2.84415036343e-05,2.57415458412,2,0,0,0,0.00673480997605,0.00286001046676
-0.2,0,-0.1,34707,2.74445494002e-05,2.11410407398e-05,0.00307859036888,2.60371055093e-05,2.6520802215,2,0,0,0,0.00683542777514,0.0029027389119
0,0.2,0.1,34516,-3.96527768625e-05,2.0703957912e-05,0.00303252949951,2.51765181328e-05,2.77109696338,2,0,0,0,0.0064728825546,0.0027487801322
0.2,0.4,0.3,33525,-6.10004872523e-05,2.2349693975e-05,0.00315106127798,2.7728401253e-05,1.73488452301,2,0,0,0,0.00692031234532,0.00293878606988
0.4,0.6,0.5,31522,-2.28647638785e-05,2.53118647113e-05,0.00333302279329,3.36032566908e-05,2.25115159407,2,0,0,0,0.00726035337307,0.00308318819881
0.6,0.8,0.7,27199,-4.61304233177e-05,3.25033513827e-05,0.00369360225101,4.60035765783e-05,0.990628214462,2,0,0,0,0.00818122692336,0.0034742471896
0.8,1,0.9,21034,-0.0001820802146,4.76234151258e-05,0.00424360849827,7.74220867704e-05,0.874704370005,2,0,0,0,0.00921086288936,0.00391149332575
