x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma,input_gaussian_width,input_gaussian_width_error
0,0.02,0.01,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.02,0.04,0.03,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.04,0.06,0.05,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.06,0.08,0.07,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.08,0.1,0.09,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.1,0.12,0.11,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.12,0.14,0.13,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.14,0.16,0.15,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.16,0.18,0.17,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.18,0.2,0.19,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.2,0.22,0.21,1622696,-6.42598323065,0.0119397793526,1.54596783674,0.00186628703451,75.0361376938,1,4,1.57915291537,0.00169754657899,0.293607417741,0.124683590309,0,0
0.22,0.24,0.23,1664836,-6.38385684364,0.0125277526095,1.54105523775,0.0017504915033,79.485643068,1,4,1.57909306638,0.00173904937363,0.29600703067,0.125702612095,0,0
0.24,0.26,0.25,1652462,-6.50047297377,0.0135018880199,1.55895445697,0.00203570844055,79.4336196184,1,4,1.55277172254,0.00182798419493,0.298820971028,0.12689758254,0,0
0.26,0.28,0.27,1607833,-6.49070854714,0.0158067565878,1.56086781781,0.00206358452951,77.9275923051,1,4,1.55264406564,0.00201716871383,0.301414994663,0.127999162952,0,0
0.28,0.3,0.29,1544733,-6.4109226897,0.00788694685573,1.55231568209,0.00127937417594,79.5215111059,1,4,1.54367640335,0.00235834136973,0.307358817558,0.130523272133,0,0
0.3,0.32,0.31,1481669,-6.37703299582,0.0138970773525,1.55000410089,0.001799662499,75.3860122165,1,4,1.57963791941,0.00178006099283,0.31044168645,0.131832446012,0,0
0.32,0.34,0.33,1422166,-6.50189529427,0.0139062857771,1.56904115599,0.00211250348147,77.0235857508,1,4,1.5506416316,0.00201898256248,0.309967144054,0.131630926411,0,0
0.34,0.36,0.35,1359274,-6.37944121369,0.0202583809299,1.55784821484,0.00261481662844,73.0597625349,1,4,1.56581537023,0.00214244124028,0.313980740405,0.13333534385,0,0
0.36,0.38,0.37,1285486,-6.38238979666,0.0143954389189,1.5607407803,0.00213416284422,66.0620141551,1,4,1.56221210134,0.00235943973625,0.316684921584,0.134483703864,0,0
0.38,0.4,0.39,1222038,-6.43132362659,0.0192356579664,1.56729366263,0.00262656813561,65.4413189464,1,4,1.56543778052,0.00203610800865,0.317473131295,0.134818425709,0,0
0.4,0.42,0.41,1162752,-6.39613722712,0.0164542446663,1.56675572126,0.00229266550614,61.858987841,1,4,1.58201919743,0.00239158583442,0.319857990426,0.135831182134,0,0
0.42,0.44,0.43,1094224,-6.33616417784,0.013801010297,1.56132027673,0.00214129667911,57.4409825392,1,4,1.59893573138,0.00312089201221,0.320081175851,0.135925960258,0,0
0.44,0.46,0.45,1028396,-6.46243876027,0.0194610717487,1.57595519425,0.00253671541363,52.4918169786,1,4,1.55834030423,0.00230247173357,0.319745619242,0.135783462486,0,0
0.46,0.48,0.47,969071,-6.38683417449,0.0165760477006,1.57226848249,0.00243466123696,51.8175298486,1,4,1.56606412745,0.0029332991456,0.319781400263,0.135798657287,0,0
