x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma,input_gaussian_width,input_gaussian_width_error
0,0.02,0.01,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.02,0.04,0.03,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.04,0.06,0.05,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.06,0.08,0.07,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.08,0.1,0.09,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.1,0.12,0.11,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.12,0.14,0.13,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.14,0.16,0.15,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.16,0.18,0.17,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.18,0.2,0.19,0,nan,nan,nan,nan,nan,0,-1,0,0,nan,nan,0,0
0.2,0.22,0.21,116527,4.25900264311e-05,3.67776088708e-05,0.00945231644927,4.24220222375e-05,30.2341474297,7,0,0.0134086966833,6.2951441257e-05,0.0136981981982,0.00581708917727,0.00682887115143,5.15919955372e-05
0.22,0.24,0.23,318022,3.66966180742e-05,2.04471046618e-05,0.00869632686259,2.3421493356e-05,83.2264674322,7,0,0.0121794542106,3.43041424253e-05,0.0126092032967,0.00535463562215,0.00663165108638,2.8371429855e-05
0.24,0.26,0.25,434200,2.77575243494e-05,1.60386945343e-05,0.00795871672965,1.84513698156e-05,125.984211337,7,0,0.0112069194203,2.70438081563e-05,0.0116205517217,0.00493479395437,0.00631917205651,2.11118373005e-05
0.26,0.28,0.27,468332,2.38485833736e-05,1.48139693196e-05,0.00769605588199,1.69435759502e-05,135.616959666,7,0,0.0105597457602,2.35360499711e-05,0.0114406461558,0.00485839509481,0.00624353842051,1.93989938602e-05
0.28,0.3,0.29,461835,2.41102831973e-05,1.43314003047e-05,0.00744390535429,1.63039808662e-05,134.971441257,6,0,0.00999808512763,2.18294783075e-05,0.0112000874187,0.00475623920498,0.00613186404159,1.84587661939e-05
0.3,0.32,0.31,438802,2.94558690311e-05,1.39631177154e-05,0.00702796098378,1.58122005444e-05,118.154402787,8,0,0.0094750536379,2.10135876713e-05,0.0106556855501,0.00452505301741,0.00604529514012,1.79983611631e-05
0.32,0.34,0.33,405714,4.49001682451e-05,1.39036154662e-05,0.00676618707863,1.57489581324e-05,114.915690551,8,0,0.00901520792078,2.03530686125e-05,0.0104218085392,0.00442573459543,0.00592496597812,1.76229850719e-05
0.34,0.36,0.35,371626,5.45182932129e-05,1.39337335022e-05,0.00651503762636,1.56955864533e-05,102.799866024,7,0,0.00860219907627,1.98693181541e-05,0.0103142158391,0.00438004418256,0.00581713360126,1.74126478201e-05
0.36,0.38,0.37,338801,4.16115418707e-05,1.39388671413e-05,0.00624517999262,1.56658019815e-05,99.5836119446,6,0,0.00820536517294,1.97335028965e-05,0.00999590351221,0.0042448693833,0.00567180301009,1.6983248658e-05
0.38,0.4,0.39,307128,4.03070411775e-05,1.42377308856e-05,0.0061589367816,1.5877341183e-05,96.540002266,6,0,0.00788894617918,1.94962466009e-05,0.00959821772269,0.00407598777795,0.00559996976884,1.72037028233e-05
0.4,0.42,0.41,277331,4.09316121197e-05,1.44816808362e-05,0.00594158536596,1.61491886595e-05,87.0366605085,6,0,0.00761835023959,1.9757298455e-05,0.00928204049663,0.00394171967253,0.00551144630355,1.73255780657e-05
