series,p_GeV_c,sigma_dcaxy_cm,sigma_error_cm
PXL+INTT fit,0.07846,0.01898305,
PXL+INTT fit,0.09046,0.01674055,
PXL+INTT fit,0.10246,0.01527379,
PXL+INTT fit,0.11446,0.01404172,
PXL+INTT fit,0.12646,0.01281617,
PXL+INTT fit,0.13846,0.01201434,
PXL+INTT fit,0.15046,0.01127771,
PXL+INTT fit,0.16246,0.01056063,
PXL+INTT fit,0.17446,0.00995437,
PXL+INTT fit,0.18646,0.00941330,
PXL+INTT fit,0.19846,0.00889179,
PXL+INTT fit,0.21046,0.00857888,
PXL+INTT fit,0.22246,0.00816167,
PXL+INTT fit,0.23446,0.00788787,
PXL+INTT fit,0.24646,0.00749674,
PXL+INTT fit,0.25846,0.00726206,
PXL+INTT fit,0.27046,0.00693611,
PXL+INTT fit,0.28246,0.00672099,
PXL+INTT fit,0.29446,0.00658409,
PXL+INTT fit,0.30646,0.00640808,
PXL+INTT fit,0.31846,0.00615385,
PXL+INTT fit,0.33046,0.00598435,
PXL+INTT fit,0.34246,0.00595176,
PXL+INTT fit,0.35446,0.00565841,
PXL+INTT fit,0.36646,0.00550196,
PXL+INTT fit,0.37846,0.00539113,
PXL+INTT fit,0.39046,0.00534550,
PXL+INTT fit,0.40246,0.00528031,
PXL+INTT fit,0.41446,0.00502608,
PXL+INTT fit,0.42646,0.00492829,
PXL+INTT fit,0.43846,0.00482399,
PXL+INTT fit,0.45046,0.00475880,
PXL+INTT fit,0.46246,0.00474576,
PXL+INTT fit,0.47446,0.00457627,
PXL+INTT fit,0.48646,0.00453716,
PXL+INTT fit,0.49846,0.00451108,
PXL+INTT fit,0.51046,0.00444589,
PXL+INTT fit,0.52246,0.00425033,
PXL+INTT fit,0.53446,0.00422425,
PXL+INTT fit,0.54646,0.00419817,
PXL+INTT fit,0.55846,0.00413299,
PXL+INTT fit,0.57046,0.00400261,
PXL+INTT fit,0.58246,0.00395046,
PXL+INTT fit,0.59446,0.00389831,
PXL+INTT fit,0.60646,0.00384615,
PXL+INTT fit,0.61846,0.00380052,
PXL+INTT fit,0.63046,0.00378096,
PXL+INTT fit,0.64246,0.00372881,
PXL+INTT fit,0.65446,0.00367014,
PXL+INTT fit,0.66646,0.00362451,
PXL+INTT fit,0.67846,0.00357236,
PXL+INTT fit,0.69046,0.00353325,
PXL+INTT fit,0.70246,0.00349413,
PXL+INTT fit,0.71446,0.00345502,
PXL+INTT fit,0.72646,0.00341591,
PXL+INTT fit,0.73846,0.00337679,
PXL+INTT fit,0.75046,0.00333768,
PXL+INTT fit,0.76246,0.00330508,
PXL+INTT fit,0.77446,0.00327249,
PXL+INTT fit,0.78646,0.00323990,
PXL+INTT fit,0.79846,0.00320730,
PXL+INTT fit,0.81046,0.00316819,
PXL+INTT fit,0.82246,0.00313559,
PXL+INTT fit,0.83446,0.00310300,
PXL+INTT fit,0.84646,0.00307692,
PXL+INTT fit,0.85846,0.00304433,
PXL+INTT fit,0.87046,0.00302477,
PXL+INTT fit,0.88246,0.00298566,
PXL+INTT fit,0.89446,0.00296610,
PXL+INTT fit,0.90646,0.00294654,
PXL+INTT fit,0.91846,0.00290743,
PXL+INTT fit,0.93046,0.00288787,
PXL+INTT fit,0.94246,0.00286832,
PXL+INTT fit,0.95446,0.00284224,
PXL+INTT fit,0.96646,0.00288136,
PXL+INTT fit,0.97846,0.00273794,
PXL+INTT fit,0.99046,0.00273794,
PXL+INTT fit,1.00246,0.00273794,
PXL+INTT fit,1.01446,0.00273794,
PXL+INTT fit,1.03846,0.00268579,
PXL+INTT fit,1.05046,0.00265971,
PXL+INTT fit,1.06246,0.00263364,
PXL+INTT fit,1.07446,0.00263364,
PXL+INTT fit,1.08646,0.00260756,
PXL+INTT fit,1.09846,0.00258149,
PXL+INTT fit,1.11046,0.00255541,
PXL+INTT fit,1.12246,0.00255541,
PXL+INTT fit,1.13446,0.00252934,
PXL+INTT fit,1.14646,0.00250326,
PXL+INTT fit,1.15846,0.00250326,
PXL+INTT fit,1.17046,0.00247718,
PXL+INTT fit,1.18246,0.00245111,
PXL+INTT fit,1.19446,0.00245111,
PXL+INTT fit,1.20646,0.00242503,
PXL+INTT fit,1.21846,0.00242503,
PXL+INTT fit,1.23046,0.00239896,
PXL+INTT fit,1.24246,0.00237940,
PXL+INTT fit,1.25446,0.00237288,
PXL+INTT fit,1.26646,0.00235332,
PXL+INTT fit,1.27846,0.00234681,
PXL+INTT fit,1.29046,0.00232073,
PXL+INTT fit,1.30246,0.00232073,
PXL+INTT fit,1.31446,0.00229465,
PXL+INTT fit,1.32646,0.00229465,
PXL+INTT fit,1.33846,0.00226858,
PXL+INTT fit,1.35046,0.00226858,
PXL+INTT fit,1.36246,0.00224250,
PXL+INTT fit,1.37446,0.00224250,
PXL+INTT fit,1.38646,0.00221643,
PXL+INTT fit,1.39846,0.00221643,
PXL+INTT fit,1.41046,0.00219687,
PXL+INTT fit,1.42246,0.00219035,
PXL+INTT fit,1.43446,0.00217731,
PXL+INTT fit,1.44646,0.00216428,
PXL+INTT fit,1.45846,0.00216428,
PXL+INTT fit,1.47046,0.00213820,
PXL+INTT fit,1.48246,0.00213820,
PXL+INTT fit,1.49446,0.00212516,
PXL+INTT fit,1.50646,0.00211213,
PXL+INTT fit,1.51846,0.00211213,
PXL+INTT fit,1.53046,0.00208605,
PXL+INTT fit,1.54246,0.00208605,
PXL+INTT fit,1.55446,0.00208605,
PXL+INTT fit,1.56646,0.00205997,
PXL+INTT fit,1.57846,0.00205997,
PXL+INTT fit,1.59046,0.00204694,
PXL+INTT fit,1.60246,0.00203390,
PXL+INTT fit,1.61446,0.00203390,
PXL+INTT fit,1.62646,0.00202086,
PXL+INTT fit,1.63846,0.00200782,
PXL+INTT fit,1.65046,0.00200782,
PXL+INTT fit,1.66246,0.00199478,
PXL+INTT fit,1.67446,0.00198175,
PXL+INTT fit,1.68646,0.00198175,
PXL+INTT fit,1.69846,0.00196871,
PXL+INTT fit,1.71046,0.00195567,
PXL+INTT fit,1.72246,0.00195567,
PXL+INTT fit,1.73446,0.00195567,
PXL+INTT fit,1.74646,0.00193611,
PXL+INTT fit,1.75846,0.00192960,
PXL+INTT fit,1.77046,0.00192960,
PXL+INTT fit,1.78246,0.00191656,
PXL+INTT fit,1.79446,0.00190352,
PXL+INTT fit,1.80646,0.00190352,
PXL+INTT fit,1.81846,0.00190352,
PXL+INTT fit,1.83046,0.00189048,
PXL+INTT fit,1.84246,0.00187744,
PXL+INTT fit,1.85446,0.00187744,
PXL+INTT fit,1.86646,0.00187744,
PXL+INTT fit,1.87846,0.00185137,
PXL+INTT fit,1.89046,0.00185137,
PXL+INTT fit,1.90246,0.00185137,
PXL+INTT fit,1.91446,0.00185137,
PXL+INTT fit,1.92646,0.00183181,
PXL+INTT fit,1.93846,0.00182529,
PXL+INTT fit,1.95046,0.00182529,
PXL+INTT fit,1.96246,0.00182529,
PXL+INTT fit,1.97446,0.00179922,
PXL+INTT fit,1.98646,0.00179922,
PXL+INTT fit,1.99846,0.00179922,
PXL+INTT fit,2.01046,0.00179922,
PXL+INTT fit,2.03446,0.00177966,
PXL+INTT fit,2.04646,0.00177314,
PXL+INTT fit,2.05846,0.00177314,
PXL+INTT fit,2.07046,0.00177314,
PXL+INTT fit,2.08246,0.00176010,
