energy_GeV,particle,data_yield,data_err,gc_model_yield,sce_blended_yield,data_source,note
3,p,84.2269,6.529703235,81.240852,81.232880,ins2724476/Table V(inclusive proton),"rapidity bin [-0.1, 0] centered at y=-0.05"
3.2,p,,,74.250946,75.603929,,
3.5,p,,,67.091223,69.287003,,
3.9,p,,,61.180440,63.426676,,
4.5,p,,,56.273066,57.835542,,
5.2,p,,,53.269928,53.993016,,
7.7,p,54.96245999999999,6.056705921,54.170774,49.829681,"ins1510593/dN/dy, 7.7 GeV",derived from dN/dy/(0.5*Npart) using Npart
11.5,p,43.99982,5.293073109,40.941538,,"ins1510593/dN/dy, 11.5 GeV",derived from dN/dy/(0.5*Npart) using Npart
14.5,p,39.0,4.700122977,,,ins1748776/dNdy_vs_Npart(p),
19.6,p,34.222500000000004,4.461632007,30.964459,,"ins1510593/dN/dy, 19.6 GeV",derived from dN/dy/(0.5*Npart) using Npart
27,p,31.738085,3.81066866,27.409155,,"ins1510593/dN/dy, 27 GeV",derived from dN/dy/(0.5*Npart) using Npart
39,p,26.498834999999996,2.921584956,22.838687,,"ins1510593/dN/dy, 39 GeV",derived from dN/dy/(0.5*Npart) using Npart
62.4,p,29.0,3.8,24.957305,,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
130,p,28.2,3.1,,,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
200,p,34.7,4.4,29.136224,,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
3,K+,,,3.025388,1.311328,,
3.2,K+,,,3.904970,1.929781,,
3.5,K+,,,5.356956,3.085885,,
3.9,K+,,,7.445123,4.964471,,
4.5,K+,,,10.640155,8.156395,,
5.2,K+,,,14.055619,11.806951,,
7.7,K+,20.80071,1.688349061,21.182620,18.181798,"ins1510593/dN/dy, 7.7 GeV",derived from dN/dy/(0.5*Npart) using Npart
11.5,K+,24.992979999999996,2.520100653,26.701622,,"ins1510593/dN/dy, 11.5 GeV",derived from dN/dy/(0.5*Npart) using Npart
19.6,K+,29.5581,2.974592039,30.939527,,"ins1510593/dN/dy, 19.6 GeV",derived from dN/dy/(0.5*Npart) using Npart
27,K+,31.06865,2.815112332,33.160246,,"ins1510593/dN/dy, 27 GeV",derived from dN/dy/(0.5*Npart) using Npart
39,K+,31.966034999999998,2.90450025,33.427435,,"ins1510593/dN/dy, 39 GeV",derived from dN/dy/(0.5*Npart) using Npart
62.4,K+,37.6,2.7,41.262638,,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
130,K+,46.3,3,,,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
200,K+,51.3,6.5,59.474607,,arXiv:0808.2041/Table VIII,table gives total uncertainty (stat+sys)
3,K-,0.0673,0.00718912206,0.110042,0.071110,ins1897327/Figure3(a),point at y=-0.05
3.2,K-,,,0.201275,0.143767,,
3.5,K-,,,0.423868,0.338158,,
