index,title,star_url,journal_raw,journal,year,reference,status,journal_link,journal_link_text,hepdata_link,arxiv_id,arxiv_abs_link,inspire_id,fetch_error
377,Observation of the Onset of Constituent Quark Number Scaling in Heavy-Ion Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Observation-Onset-Constituent-Quark-Number-Scaling-Heavy-Ion-Collisions-RHIC,PRL 2025,PRL,2025,Phys. Rev. Lett. 135 (2025) 72301,published,https://doi.org/10.1103/2qhx-cp79,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins2907591,2504.02531,http://arxiv.org/abs/2504.02531,,
374,Search for the chiral magnetic effect through beam energy dependence of charge separation using event shape selection,https://drupal.star.bnl.gov/STAR/publications/Search-chiral-magnetic-effect-through-beam-energy-dependence-charge-separation-using-ev,PRC 2026,PRC,2026,Phys. Rev. C 113 (2026) 14912,published,https://doi.org/10.1103/pj7s-9ym7,Phys. Rev. C server,https://www.hepdata.net/record/ins2928164,2506.00278,http://arxiv.org/abs/2506.00278,,
368,Precision Measurement of (Net-)proton Number Fluctuations in Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Precision-Measurement-Net-proton-Number-Fluctuations-AuAu-Collisions-RHIC,PRL 2025,PRL,2025,Phys. Rev. Lett. 135 (2025) 142301,published,https://doi.org/10.1103/9l69-2d7p,Phys. Rev. Lett. server,https://www.hepdata.net/record/ins2906592,2504.00817,http://arxiv.org/abs/2504.00817,,
362,Light Nuclei Femtoscopy and Baryon Interactions in 3 GeV Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Light-Nuclei-Femtoscopy-and-Baryon-Interactions-3-GeV-AuAu-Collisions-RHIC,PLB 2024,PLB,2024,Phys. Lett. B 864 (2025) 139412,published,https://doi.org/10.1016/j.physletb.2025.139412,Phys. Lett. B server,https://www.hepdata.net/record/ins2908949,2410.03436,http://arxiv.org/abs/2410.03436,,
360,Temperature Measurement of Quark-Gluon Plasma at Different Stages,https://drupal.star.bnl.gov/STAR/publications/Temperature-Measurement-Quark-Gluon-Plasma-Different-Stages,Nature Comm. 2025,Nature Comm.,2025,NCOMMS 16 (2025) 9098,published,https://doi.org/10.1038/s41467-025-63216-5,NCOMMS server,https://www.hepdata.net/record/ins2755369,2402.01998,http://arxiv.org/abs/2402.01998,,
356,Measurement of directed flow in Au+Au collisions at sqrt{s_{NN}}= 19.6 and 27 GeV with the STAR Event Plane Detector,https://drupal.star.bnl.gov/STAR/publications/Measurement-directed-flow-AuAu-collisions-sqrtsNN-196-and-27-GeV-STAR-Event-Plane-Detec,PRC 2025,PRC,2025,Phys. Rev. C 111 (2025) 14906,published,https://doi.org/10.1103/PhysRevC.111.014906,Phys. Rev. C server,https://www.hepdata.net/record/ins2808515,2406.18213,http://arxiv.org/abs/2406.18213,,
353,Strangeness Production in sqrt{s_NN} = 3 GeV Au+Au Collisions at RHIC,https://drupal.star.bnl.gov/STAR/publications/Strangeness-Production-sqrtsNN-3-GeV-AuAu-Collisions-RHIC,JHEP 2024,JHEP,2024,JHEP 2024 (2024) 139,published,https://doi.org/10.1007/JHEP10(2024)139,JHEP server,https://www.hepdata.net/record/ins2807679,2407.10110,http://arxiv.org/abs/2407.10110,,
352,Production of Protons and Light Nuclei in Au+Au Collisions at sqrt{s_NN} = 3 GeV with the STAR Detector,https://drupal.star.bnl.gov/STAR/publications/Production-Protons-and-Light-Nuclei-AuAu-Collisions-sqrtsNN-3-GeV-STAR-Detector,PRC 2024,PRC,2024,Phys. Rev. C 110 (2024) 54911,published,https://doi.org/10.1103/PhysRevC.110.054911,Phys. Rev. C server,https://www.hepdata.net/record/ins2724476,2311.11020,http://arxiv.org/abs/2311.11020,,
350,Reaction plane correlated triangular flow in Au+Au collisions at sqrt{s_NN} = 3 GeV,https://drupal.star.bnl.gov/STAR/publications/Reaction-plane-correlated-triangular-flow-AuAu-collisions-sqrtsNN-3-GeV,PRC 2024,PRC,2024,Phys. Rev. C 109 (2024) 44914,published,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.109.044914,Phys. Rev. C server,https://www.hepdata.net/record/ins2702151,2309.12610,http://arxiv.org/abs/2309.12610,,
345,Event-by-event correlations between Lambda (anti-Lambda) hyperon global polarization and handedness with charged hadron azimuthal separation in Au+Au collisions at sqrt(sNN) = 27 GeV from STAR,https://drupal.star.bnl.gov/STAR/publications/Event-event-correlations-between-Lambda-anti-Lambda-hyperon-global-polarization-and-han,PRC 2023,PRC,2023,Phys. Rev. C 108 (2023) 14909,published,https://doi.org/10.1103/PhysRevC.108.014909,Phys. Rev. C server,https://www.hepdata.net/record/ins2652850,2304.10037,http://arxiv.org/abs/2304.10037,,
