energy_GeV,particle,data_yield,data_err,gc_model_yield,sce_blended_model_yield
3,pi+,,,14.930293,
3,pi-,,,26.906154,
3,p,84.2269,6.529703235,81.240709,
3,K+,,,3.045000,1.311328
3,K-,0.0673,0.00718912206,0.109346,0.071110
3,Ks0,0.742,0.08030566605,1.950220,0.848647
3,Lambda,2.258,0.2705346558,2.867634,1.849417
3,Lambda_bar,,,0.000002,0.000001
3,Xi,0.0141,0.003564505576,0.031723,0.007302
3,Xi_bar,,,0.000001,0.000000
3,phi,0.0157,0.005223112099,0.005778,0.005778
3.2,pi+,,,45.769147,
3.2,pi-,,,58.036871,
3.2,p,,,57.615523,
3.2,K+,,,11.173248,9.039908
3.2,K-,,,2.487432,2.398285
3.2,Ks0,,,7.153965,6.387236
3.2,Lambda,,,10.144039,8.450016
3.2,Lambda_bar,,,0.008030,0.007595
3.2,Xi,,,0.507787,0.293625
3.2,Xi_bar,,,0.002559,0.000064
3.2,phi,,,0.317114,0.316675
3.5,pi+,,,62.853238,
3.5,pi-,,,73.754739,
3.5,p,,,53.068398,
3.5,K+,,,15.008719,13.728957
3.5,K-,,,5.165598,5.135851
3.5,Ks0,,,10.207611,9.886440
3.5,Lambda,,,13.102243,11.740014
3.5,Lambda_bar,,,0.057635,0.052532
3.5,Xi,,,0.921132,0.653185
3.5,Xi_bar,,,0.016451,0.003105
3.5,phi,,,0.754034,0.753296
3.9,pi+,,,70.657268,
3.9,pi-,,,80.781967,
3.9,p,,,51.093442,
3.9,K+,,,16.576350,15.810772
3.9,K-,,,6.670169,6.642812
3.9,Ks0,,,11.640892,11.458932
3.9,Lambda,,,14.142194,13.119614
3.9,Lambda_bar,,,0.116597,0.100973
3.9,Xi,,,1.120716,0.855778
3.9,Xi_bar,,,0.031804,0.011555
3.9,phi,,,1.009477,1.009546
4.5,pi+,,,71.501338,
4.5,pi-,,,81.536565,
4.5,p,,,50.872810,
4.5,K+,,,16.738891,16.033419
4.5,K-,,,6.843315,6.814270
4.5,Ks0,,,11.797470,11.627689
4.5,Lambda,,,14.242325,13.264787
4.5,Lambda_bar,,,0.125230,0.107724
4.5,Xi,,,1.142393,0.878986
4.5,Xi_bar,,,0.033994,0.013161
4.5,phi,,,1.039020,1.039252
5.2,pi+,,,75.194558,
5.2,pi-,,,84.825042,
5.2,p,,,49.880077,
5.2,K+,,,17.433563,17.002300
5.2,K-,,,7.625352,7.583262
5.2,Ks0,,,12.486373,12.363284
