energy_GeV,particle,data_yield,data_err,gc_model_yield,gc_model_err_low,gc_model_err_high,sce_blended_model_yield,sce_blended_model_err_low,sce_blended_model_err_high,data_source,model_source,note
3,K-,0.0673,0.00718912206,,,,0.071110,0.0590003389,0.09150553612,ins1897327/Figure3(a),"THERMUS SCE fit, 3 GeV",point at y=-0.05
3,Ks0,0.742,0.08030566605,,,,0.848648,0.7016394191,0.9593903037,ins2807679/Table2,"THERMUS SCE fit, 3 GeV",point at y=-0.05
3,Lambda,2.258,0.2705346558,,,,1.849417,1.511956805,2.032668414,ins2807679/Table1,"THERMUS SCE fit, 3 GeV",point at y=-0.05
3,Xi,0.0141,0.003564505576,,,,0.007302,0.008197374351,0.01821405974,ins1897327/Figure3(c),"THERMUS SCE fit, 3 GeV",point at y=-0.1
3,phi,0.0157,0.005223112099,,,,0.005778,0.003770017526,0.006762771788,ins1897327/Figure3(b),"THERMUS SCE fit, 3 GeV",point at y=-0.1
7.7,K+,20.80071,1.688349061,2.2020279782e+01,4.242520462,4.388144566,,,,"ins1510593/dN/dy, 7.7 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
7.7,K-,7.69272,0.6251012268,8.5840048692e+00,1.850827918,1.97969523,,,,"ins1510593/dN/dy, 7.7 GeV",THERMUS GCE parametrized fit,derived from dN/dy/(0.5*Npart) using Npart
7.7,Ks0,12.67,0.45607017,1.4946512318e+01,2.906450211,3.036005657,,,,ins1738953/K0S dN/dy 7.7 GeV,THERMUS GCE parametrized fit,
7.7,Lambda,15.3,0.8273451517,1.5334006911e+01,3.577779942,3.828860858,,,,ins1738953/Lambda dN/dy 7.7 GeV,THERMUS GCE parametrized fit,
7.7,Lambda_bar,0.193,0.01992485885,2.2510149011e-01,0.06330101775,0.072694673,,,,ins1738953/AntiLambda dN/dy 7.7 GeV,THERMUS GCE parametrized fit,
7.7,Xi,1.19,0.1140175425,1.2412784808e+00,0.3223878964,0.3522385287,,,,ins1738953/Xi- dN/dy 7.7 GeV,THERMUS GCE parametrized fit,
7.7,Xi_bar,0.0657,0.008099382693,6.1849392861e-02,0.01801615914,0.02061210192,,,,ins1738953/AntiXi+ dN/dy 7.7 GeV,THERMUS GCE parametrized fit,
7.7,phi,1.21,0.2184032967,1.4032152425e+00,0.3019164545,0.322627148,,,,ins1738953/Phi dN/dy 7.7 GeV,THERMUS GCE parametrized fit,
8.24063,K+,,,2.2165684374e+01,3.81366549,3.908018679,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.24063,K-,,,9.0179044379e+00,1.705152017,1.789497775,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.24063,Ks0,,,1.5225748029e+01,2.634079478,2.717782726,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.24063,Lambda,,,1.4630555980e+01,3.00859522,3.169077756,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.24063,Lambda_bar,,,2.6607876452e-01,0.06454330308,0.07163301412,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.24063,Xi,,,1.2281262679e+00,0.2792257487,0.2990661599,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.24063,Xi_bar,,,7.1137962075e-02,0.0179111184,0.01984637473,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.24063,phi,,,1.4744684089e+00,0.2783194252,0.2920018525,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,K+,,,2.2445076346e+01,3.589998655,3.677760167,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,K-,,,9.5419128239e+00,1.675557581,1.754802396,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,Ks0,,,1.5614424184e+01,2.518204139,2.597063067,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,Lambda,,,1.4097026237e+01,2.693688792,2.832555895,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,Lambda_bar,,,3.1620654364e-01,0.07124108422,0.07864052018,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,Xi,,,1.2265862466e+00,0.2581389137,0.2755275137,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,Xi_bar,,,8.2342575607e-02,0.01920195346,0.02115969506,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
8.81921,phi,,,1.5588960720e+00,0.2747633998,0.287837127,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,K+,,,2.2832595111e+01,3.488688779,3.589734174,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,K-,,,1.0145899786e+01,1.714817689,1.806467919,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,Ks0,,,1.6094927396e+01,2.494259223,2.58636266,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,Lambda,,,1.3691611655e+01,2.521322518,2.667254758,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,Lambda_bar,,,3.7657046494e-01,0.08255151691,0.09185431115,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,Xi,,,1.2338721721e+00,0.2498458787,0.2681491732,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,Xi_bar,,,9.5612682731e-02,0.02160025582,0.02397628345,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
9.43842,phi,,,1.6548908358e+00,0.2829825689,0.2983206182,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.1011,K+,,,2.3306366727e+01,3.446733265,3.567364166,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.1011,K-,,,1.0820656554e+01,1.784005266,1.893394204,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
10.1011,Ks0,,,1.6652061551e+01,2.512000637,2.622873403,,,,,THERMUS GCE parametrized fit,model-only point from smooth parametrized GCE trace
