energy_GeV,particle,data_yield,data_err,gc_effective_model_yield,sce_blended_model_yield,data_source,model_source,note
3,K+,,,3.282074,1.311328,,THERMUS SCE endpoint-interpolated,model-only point
3,K-,0.0673,0.00718912206,0.101593,0.071110,ins1897327/Figure3(a),THERMUS SCE endpoint-interpolated,point at y=-0.05
3,Ks0,0.742,0.08030566605,2.095870,0.848647,ins2807679/Table2,THERMUS SCE endpoint-interpolated,point at y=-0.05
3,Lambda,2.258,0.2705346558,2.660862,1.849417,ins2807679/Table1,THERMUS SCE endpoint-interpolated,point at y=-0.05
3,Lambda_bar,,,0.000002,0.000001,,THERMUS SCE endpoint-interpolated,model-only point
3,Xi,0.0141,0.003564505576,0.027294,0.007302,ins1897327/Figure3(c),THERMUS SCE endpoint-interpolated,point at y=-0.1
3,Xi_bar,,,0.000001,0.000000,,THERMUS SCE endpoint-interpolated,model-only point
3,phi,0.0157,0.005223112099,0.005778,0.005778,ins1897327/Figure3(b),THERMUS SCE endpoint-interpolated,point at y=-0.1
3.2,K+,,,4.985294,2.509628,,THERMUS SCE endpoint-interpolated,model-only point
3.2,K-,,,0.285530,0.232088,,THERMUS SCE endpoint-interpolated,model-only point
3.2,Ks0,,,3.093459,1.672807,,THERMUS SCE endpoint-interpolated,model-only point
3.2,Lambda,,,4.004722,3.082302,,THERMUS SCE endpoint-interpolated,model-only point
3.2,Lambda_bar,,,0.000032,0.000020,,THERMUS SCE endpoint-interpolated,model-only point
3.2,Xi,,,0.069009,0.025284,,THERMUS SCE endpoint-interpolated,model-only point
3.2,Xi_bar,,,0.000014,0.000000,,THERMUS SCE endpoint-interpolated,model-only point
3.2,phi,,,0.022148,0.022202,,THERMUS SCE endpoint-interpolated,model-only point
3.5,K+,,,7.526211,4.658962,,THERMUS SCE endpoint-interpolated,model-only point
3.5,K-,,,0.784026,0.716616,,THERMUS SCE endpoint-interpolated,model-only point
3.5,Ks0,,,4.619680,3.194077,,THERMUS SCE endpoint-interpolated,model-only point
3.5,Lambda,,,5.982017,5.015493,,THERMUS SCE endpoint-interpolated,model-only point
3.5,Lambda_bar,,,0.000450,0.000353,,THERMUS SCE endpoint-interpolated,model-only point
3.5,Xi,,,0.168652,0.082595,,THERMUS SCE endpoint-interpolated,model-only point
3.5,Xi_bar,,,0.000170,0.000000,,THERMUS SCE endpoint-interpolated,model-only point
