# Auto-generated from BESII_Review data
#     is_fitted           pdg1           pdg2      feeddown1      feeddown2          value          error
              1          -3312              0              3              0          0.169     0.01456022
              1          -3122              0              3              0          0.659    0.047853944
              1          -2212              0              3              0       1.033159     0.18926363
              1           -321              0              3              0        12.3443      1.2348932
              1           -211              0              3              0       129.6997      13.021798
              1            211              0              3              0       123.7812      12.514543
              1            321              0              3              0       24.99298      2.5201007
              1           2212              0              3              0       34.94519      5.3167338
              1           3122              0              3              0          14.17     0.78409183
              1           3312              0              3              0           1.35      0.1118034
