observable,experiment,collaboration,system,particle,centrality,sqrt_s_NN_GeV,beam_energy_A_GeV,value,stat_err_plus,stat_err_minus,syst_err_plus,syst_err_minus,source_citation,source_doi,data_source,data_source_doi,table_or_figure,extraction_method,notes
dv1_dy_midrapidity,HADES,HADES,Au+Au,proton,10-30%,2.4,,0.304,0.001,0.001,0.003,0.003,"J. Adamczewski-Musch et al. (HADES), Eur. Phys. J. A 59, 80 (2023)",10.1140/epja/s10050-023-00936-6,STAR PLB 827 Fig. 5 HEPData compilation,10.17182/hepdata.110656.v1/t25,fig5_a $p$,direct HEPData CSV,HADES/SIS18 proton point as included in the STAR 3 GeV excitation-function compilation.
dv1_dy_midrapidity,STAR,STAR,Au+Au,proton,10-40%,3.0,,0.378858,0.000239808,0.000239808,0.00725157,0.00725157,"M. S. Abdallah et al. (STAR), Phys. Lett. B 827, 137003 (2022)",10.1016/j.physletb.2022.137003,HEPData,10.17182/hepdata.110656.v1/t25,fig5_a $p$,direct HEPData CSV,STAR fixed-target 3 GeV proton directed-flow slope.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi,10-40%,3.0,,0.00224173,0.000577195,0.000577195,0.00332323,0.00332323,"M. S. Abdallah et al. (STAR), Phys. Lett. B 827, 137003 (2022)",10.1016/j.physletb.2022.137003,HEPData,10.17182/hepdata.110656.v1/t24,"fig5_a $\pi, K, \Lambda$",direct HEPData CSV,STAR fixed-target 3 GeV combined-pion directed-flow slope.
dv1_dy_midrapidity,STAR,STAR,Au+Au,K,10-40%,3.0,,0.0667573,0.00633212,0.00633212,0.00692095,0.00692095,"M. S. Abdallah et al. (STAR), Phys. Lett. B 827, 137003 (2022)",10.1016/j.physletb.2022.137003,HEPData,10.17182/hepdata.110656.v1/t24,"fig5_a $\pi, K, \Lambda$",direct HEPData CSV,STAR fixed-target 3 GeV combined-kaon directed-flow slope.
dv1_dy_midrapidity,STAR,STAR,Au+Au,Lambda,10-40%,3.0,,0.310307,0.0158782,0.0158782,0.0094081,0.0094081,"M. S. Abdallah et al. (STAR), Phys. Lett. B 827, 137003 (2022)",10.1016/j.physletb.2022.137003,HEPData,10.17182/hepdata.110656.v1/t24,"fig5_a $\pi, K, \Lambda$",direct HEPData CSV,STAR fixed-target 3 GeV Lambda directed-flow slope.
dv1_dy_midrapidity,STAR FXT,STAR,Au+Au,Lambda,10-30%,4.5,,0.106,0.011,0.011,0.01,0.01,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t7,Figure 11,direct HEPData CSV,STAR fixed-target 4.5 GeV Lambda slope.
dv1_dy_midrapidity,STAR FXT,STAR,Au+Au,proton,10-25%,4.5,,0.084,0.002,0.002,0.01,0.01,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t7,Figure 11,direct HEPData CSV,STAR fixed-target 4.5 GeV proton slope.
dv1_dy_midrapidity,STAR FXT,STAR,Au+Au,K0S,10-30%,4.5,,-0.03,0.01,0.01,0.017,0.017,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t7,Figure 11,direct HEPData CSV,STAR fixed-target 4.5 GeV K0S slope.
dv1_dy_midrapidity,STAR FXT,STAR,Au+Au,pi-,10-30%,4.5,,-0.005,0.004,0.004,0.003,0.003,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t7,Figure 11,direct HEPData CSV,STAR fixed-target 4.5 GeV negative-pion slope.
dv1_dy_midrapidity,STAR FXT,STAR,Au+Au,pi+,10-30%,4.5,,-0.024,0.004,0.004,0.003,0.003,"M. S. Abdallah et al. (STAR), Phys. Rev. C 103, 034908 (2021)",10.1103/PhysRevC.103.034908,HEPData,10.17182/hepdata.95903.v1/t7,Figure 11,direct HEPData CSV,STAR fixed-target 4.5 GeV positive-pion slope.
