observable,experiment,collaboration,system,particle,centrality,sqrt_s_NN_GeV,beam_energy_A_GeV,value,stat_err_plus,stat_err_minus,syst_err_plus,syst_err_minus,source_citation,source_doi,data_source,data_source_doi,table_or_figure,extraction_method,notes
dv1_dy_midrapidity,STAR,STAR,Au+Au,antiproton,10-40%,7.7,,-0.0358057,0.02164369,0.02164369,0.019,0.019,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,antiproton,10-40%,11.5,,-0.0351478,0.00847682,0.00847682,0.0071,0.0071,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,antiproton,10-40%,19.6,,-0.0293238,0.00473378,0.00473378,0.004,0.004,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,antiproton,10-40%,27.0,,-0.023209,0.00356216,0.00356216,0.003,0.003,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,antiproton,10-40%,39.0,,-0.0186672,0.00354199,0.00354199,0.003,0.003,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,antiproton,10-40%,62.4,,-0.0165848,0.00297745,0.00297745,0.006104,0.006104,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,antiproton,10-40%,200.0,,-0.0048911,0.00025203,0.00025203,0.000286368,0.000286368,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,net-proton,10-40%,7.7,,0.0131475,0.00110027,0.00110027,0.0029,0.0029,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t6,T6,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,net-proton,10-40%,11.5,,-0.003985273,0.0011279,0.0011279,0.0021,0.0021,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t6,T6,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,net-proton,10-40%,19.6,,-0.003697327,0.000567,0.000567,0.0014,0.0014,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t6,T6,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,net-proton,10-40%,27.0,,-0.000788,0.00067566,0.00067566,0.001,0.001,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t6,T6,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,net-proton,10-40%,39.0,,0.00162967,0.0019,0.0019,0.00096,0.00096,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t6,T6,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,net-proton,10-40%,62.4,,0.00762832,0.00390818,0.00390818,0.0056,0.0056,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t6,T6,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,net-proton,10-40%,200.0,,0.0085252,0.000901741,0.000901741,0.0024337,0.0024337,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t6,T6,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,7.7,,-0.0233159,0.00195083,0.00195083,0.000947368,0.000947368,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,11.5,,-0.0238797,0.00173353,0.00173353,0.000472265,0.000472265,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
dv1_dy_midrapidity,STAR,STAR,Au+Au,pi+,10-40%,19.6,,-0.016315,0.00094944,0.00094944,0.000386864,0.000386864,"L. Adamczyk et al. (STAR), Phys. Rev. Lett. 112, 162301 (2014)",10.1103/PhysRevLett.112.162301,HEPData,10.17182/hepdata.105867.v1/t5,T5,direct HEPData CSV,Cubic/linear midrapidity slope as published; HEPData errors are statistical and systematic.
