observable,experiment,collaboration,system,particle,centrality,sqrt_s_NN_GeV,beam_energy_A_GeV,value,stat_err_plus,stat_err_minus,syst_err_plus,syst_err_minus,source_citation,source_doi,data_source,data_source_doi,table_or_figure,extraction_method,notes
v2_near_midrapidity,E877,E877,Au+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",4.72,,0.018999350227420404,0.002014294996751137,0.002014294996751137,,,"J. Barrette et al. (E877), Phys. Rev. C 56, 3254 (1997)",10.1103/PhysRevC.56.3254,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"standard; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,NA49,NA49,Pb+Pb,pi-,"mid-central, approx. 12-34% geometrical cross section",8.76,40.0,0.02367771280051982,0.002761533463287849,0.002761533463287849,,,"C. Alt et al. (NA49), Phys. Rev. C 68, 034903 (2003)",10.1103/PhysRevC.68.034903,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"standard/modified; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,NA49,NA49,Pb+Pb,pi-,"mid-central, approx. 12-34% geometrical cross section",17.27,158.0,0.032417153996101365,,,,,"C. Alt et al. (NA49), Phys. Rev. C 68, 034903 (2003)",10.1103/PhysRevC.68.034903,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"standard/modified; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,NA49,NA49,Pb+Pb,pi-,"mid-central, approx. 12-34% geometrical cross section",8.76,40.0,0.021825860948667966,0.0011695906432748538,0.0011695906432748538,,,"C. Alt et al. (NA49), Phys. Rev. C 68, 034903 (2003)",10.1103/PhysRevC.68.034903,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"cumulant; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,NA49,NA49,Pb+Pb,pi-,"mid-central, approx. 12-34% geometrical cross section",17.27,158.0,0.02916829109811566,,,,,"C. Alt et al. (NA49), Phys. Rev. C 68, 034903 (2003)",10.1103/PhysRevC.68.034903,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"cumulant; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,CERES,CERES/NA45,Pb+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",8.76,40.0,0.027998700454840805,0.002501624431448993,0.002501624431448993,,,"K. Filimonov et al. (CERES), arXiv:nucl-ex/0109017; J. Slivova, Nucl. Phys. A 715, 615c (2003)",10.1016/S0375-9474(02)01545-2,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"CERES; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,CERES,CERES/NA45,Pb+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",17.27,158.0,0.030987654320987656,0.002501624431448993,0.002501624431448993,,,"K. Filimonov et al. (CERES), arXiv:nucl-ex/0109017; J. Slivova, Nucl. Phys. A 715, 615c (2003)",10.1016/S0375-9474(02)01545-2,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"CERES; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,STAR,STAR,Au+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",130.0,,0.042618583495776484,0.002599090318388564,0.002599090318388564,,,"C. Adler et al. (STAR), Phys. Rev. C 66, 034904 (2002)",10.1103/PhysRevC.66.034904,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"STAR, low-pT corrected by NA49; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,STAR,STAR,Au+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",200.0,,0.04781676413255361,0.002599090318388564,0.002599090318388564,,,"L. Ray (STAR), Nucl. Phys. A 715, 45c (2003)",10.1016/S0375-9474(02)01412-4,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"STAR, low-pT corrected by NA49; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,PHENIX,PHENIX,Au+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",200.0,,0.0540220922677063,0.004093567251461989,0.004093567251461989,,,"S. Esumi et al. (PHENIX), Nucl. Phys. A 715, 599c (2003)",10.1016/S0375-9474(02)01541-5,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"PHENIX; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,PHOBOS,PHOBOS,Au+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",130.0,,0.04801169590643275,0.005003248862897986,0.005003248862897986,,,"S. Manly et al. (PHOBOS), Nucl. Phys. A 715, 611c (2003)",10.1016/S0375-9474(02)01544-0,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"PHOBOS; NA49 caption: near midrapidity, pions compared to charged-particle results."
v2_near_midrapidity,PHOBOS,PHOBOS,Au+Au,charged hadrons,"mid-central, approx. 12-34% geometrical cross section",200.0,,0.0510006497725796,0.005003248862897986,0.005003248862897986,,,"S. Manly et al. (PHOBOS), Nucl. Phys. A 715, 611c (2003)",10.1016/S0375-9474(02)01544-0,arXiv EPS vector graphic,10.48550/arXiv.nucl-ex/0303001,"Fig. 24 / v2edep.eps of NA49 PRC 68, 034903",vector digitized from EPS coordinates,"PHOBOS; NA49 caption: near midrapidity, pions compared to charged-particle results."
