#: table_doi: 10.17182/hepdata.110656.v1/t15
#: name: fig4_a 27GeV $K$
#: description: $v_2$ scaled by the number of constituent quarks, $v_2/n_q$ , as a function of scaled transverse kinetic energy ($(m_T − m_0)/n_q$) for pions, kaons and protons from Au+Au collisions in 10-40% centrality at $\sqrt{s_{NN}}$ = 3, 27, and 54.4 GeV for positive charged particles (left panel) and negative charged particles (right panel). Colored dashed lines represent the scaling fit to data in 7.7, 14.5, 27, 54.4, and 200 GeV Au+Au collisions from STAR experiment at RHIC [43–45]. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points.
#: data_file: fig4_kp.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: elliptic flow
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$
$(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$ $K^+$ 27 GeV,stat +,stat -,sys +,sys -
0.0395205,0.0081,6.7098e-05,-6.7098e-05,0.00082856,-0.00082856
0.104001,0.0169275,4.19649e-05,-4.19649e-05,0.000344228,-0.000344228
0.179708,0.0277126,4.24417e-05,-4.24417e-05,0.000271643,-0.000271643
0.264183,0.0375401,5.08115e-05,-5.08115e-05,0.000630525,-0.000630525
0.35327,0.0458987,6.59865e-05,-6.59865e-05,0.00095502,-0.00095502
0.445034,0.0528725,8.8328e-05,-8.8328e-05,0.00118807,-0.00118807
0.538313,0.058445,0.000121363,-0.000121363,0.00124394,-0.00124394
0.632148,0.0629815,0.000180177,-0.000180177,0.00117346,-0.00117346
0.725133,0.066278,0.000275199,-0.000275199,0.000901675,-0.000901675
0.816285,0.0697335,0.00044086,-0.00044086,0.0010867,-0.0010867
0.944905,0.072288,0.00073878,-0.00073878,0.00120144,-0.00120144
1.03703,0.073642,0.00123924,-0.00123924,0.00142296,-0.00142296
1.13182,0.077159,0.00174407,-0.00174407,0.00175569,-0.00175569
1.22861,0.080074,0.00250601,-0.00250601,0.00251393,-0.00251393

