#: table_doi: 10.17182/hepdata.110656.v1/t21
#: name: fig4_a 3GeV $p$
#: description: $v_2$ scaled by the number of constituent quarks, $v_2/n_q$ , as a function of scaled transverse kinetic energy ($(m_T − m_0)/n_q$) for pions, kaons and protons from Au+Au collisions in 10-40% centrality at $\sqrt{s_{NN}}$ = 3, 27, and 54.4 GeV for positive charged particles (left panel) and negative charged particles (right panel). Colored dashed lines represent the scaling fit to data in 7.7, 14.5, 27, 54.4, and 200 GeV Au+Au collisions from STAR experiment at RHIC [43–45]. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points.
#: data_file: fig4_pp_3.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: elliptic flow
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$
$(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$ p 3 GeV,stat +,stat -,sys +,sys -
0.0198444,-0.0020735,4.37283e-05,-4.37283e-05,0.000304166,-0.000304166
0.0431127,-0.0037978,3.19877e-05,-3.19877e-05,0.000149338,-0.000149338
0.0780945,-0.00591413,3.48967e-05,-3.48967e-05,0.000188484,-0.000188484
0.120209,-0.00813673,4.37563e-05,-4.37563e-05,0.000244944,-0.000244944
0.16798,-0.00974847,6.21197e-05,-6.21197e-05,0.000295457,-0.000295457
0.219737,-0.0104355,9.77543e-05,-9.77543e-05,0.00033763,-0.00033763
0.27519,-0.0101008,0.000173204,-0.000173204,0.000318816,-0.000318816
0.333223,-0.00954303,0.000318916,-0.000318916,0.000404677,-0.000404677
0.392856,-0.0078847,0.000572397,-0.000572397,0.000498917,-0.000498917

