#: table_doi: 10.17182/hepdata.110656.v1/t9
#: name: fig4_a 54GeV $\pi$
#: description: $v_2$ scaled by the number of constituent quarks, $v_2/n_q$ , as a function of scaled transverse kinetic energy ($(m_T − m_0)/n_q$) for pions, kaons and protons from Au+Au collisions in 10-40% centrality at $\sqrt{s_{NN}}$ = 3, 27, and 54.4 GeV for positive charged particles (left panel) and negative charged particles (right panel). Colored dashed lines represent the scaling fit to data in 7.7, 14.5, 27, 54.4, and 200 GeV Au+Au collisions from STAR experiment at RHIC [43–45]. Statistical and systematic uncertainties are shown as bars and gray bands, respectively. Some uncertainties are smaller than the data points.
#: data_file: fig4_pip_54.yaml
#: keyword reactions: AuAu
#: keyword cmenergies: 3.0
#: keyword observables: elliptic flow
#: $(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$
$(m_T - m_0)/n_q (GeV/c^2)$,$v_2/n_q$ $\pi^+$ 54 GeV,stat +,stat -,sys +,sys -
0.0937561,0.0129617,8.27665e-06,-8.27665e-06,0.000171685,-0.000171685
0.185574,0.0251591,9.68375e-06,-9.68375e-06,0.000501875,-0.000501875
0.281946,0.0371149,1.31477e-05,-1.31477e-05,0.00079937,-0.00079937
0.379988,0.0476986,1.86316e-05,-1.86316e-05,0.00106145,-0.00106145
0.478866,0.056592,2.7364e-05,-2.7364e-05,0.00129683,-0.00129683
0.578263,0.0641015,3.70205e-05,-3.70205e-05,0.00146647,-0.00146647
0.678038,0.070043,5.12895e-05,-5.12895e-05,0.00161561,-0.00161561
0.778057,0.0746365,7.0905e-05,-7.0905e-05,0.00170565,-0.00170565
0.878167,0.0780115,9.78695e-05,-9.78695e-05,0.0017567,-0.0017567
0.978231,0.0801675,0.000134763,-0.000134763,0.00183802,-0.00183802
1.0782,0.0816255,0.000182977,-0.000182977,0.00185624,-0.00185624
1.17827,0.082434,0.000249665,-0.000249665,0.00192459,-0.00192459
1.27896,0.0831045,0.000344617,-0.000344617,0.00176553,-0.00176553
1.38095,0.083347,0.000464925,-0.000464925,0.00196406,-0.00196406

