#: table_doi: 10.17182/hepdata.95903.v1/t10
#: name: Figure 16
#: description: Excitation function of Rout, Rside, and Rlong.
#: data_file: fig16.yaml
#: keyword reactions: AU AU --> X
#: Dataset,E895
$\sqrt{s_{NN}}$,$R_{out}$ (fm),stat +,stat -,syst +,syst -
2.35,6.22,0.26,-0.26,0,0
3.04,5.79,0.16,-0.16,0,0
3.61,5.76,0.23,-0.23,0,0
4.09,5.49,0.31,-0.31,0,0
4.5,,0,0,0,0
4.85,,0,0,0,0

#: Dataset,E895
$\sqrt{s_{NN}}$,$R_{side}$ (fm),stat +,stat -,syst +,syst -
2.35,6.28,0.2,-0.2,0,0
3.04,5.37,0.11,-0.11,0,0
3.61,5.05,0.12,-0.12,0,0
4.09,4.83,0.21,-0.21,0,0
4.5,,0,0,0,0
4.85,,0,0,0,0

#: Dataset,E895
$\sqrt{s_{NN}}$,$R_{long}$ (fm),stat +,stat -,syst +,syst -
2.35,5.15,0.19,-0.19,0,0
3.04,5.15,0.14,-0.14,0,0
3.61,4.72,0.18,-0.18,0,0
4.09,4.64,0.25,-0.25,0,0
4.5,,0,0,0,0
4.85,,0,0,0,0

#: Dataset,STAR
$\sqrt{s_{NN}}$,$R_{out}$ (fm),stat +,stat -,syst +,syst -
2.35,,0,0,0,0
3.04,,0,0,0,0
3.61,,0,0,0,0
4.09,,0,0,0,0
4.5,5.03,0.08,-0.08,0.45,-0.45
4.85,,0,0,0,0

#: Dataset,STAR
$\sqrt{s_{NN}}$,$R_{side}$ (fm),stat +,stat -,syst +,syst -
2.35,,0,0,0,0
3.04,,0,0,0,0
3.61,,0,0,0,0
4.09,,0,0,0,0
4.5,4.52,0.06,-0.06,0.29,-0.29
4.85,,0,0,0,0

#: Dataset,STAR
$\sqrt{s_{NN}}$,$R_{long}$ (fm),stat +,stat -,syst +,syst -
2.35,,0,0,0,0
3.04,,0,0,0,0
3.61,,0,0,0,0
4.09,,0,0,0,0
4.5,4.25,0.07,-0.07,0.3,-0.3
4.85,,0,0,0,0

#: Dataset,E866
$\sqrt{s_{NN}}$,$R_{out}$ (fm),stat +,stat -,syst +,syst -
2.35,,0,0,0,0
3.04,,0,0,0,0
3.61,,0,0,0,0
4.09,,0,0,0,0
4.5,,0,0,0,0
4.85,5.41,0.33,-0.33,0.16,-0.16

#: Dataset,E866
$\sqrt{s_{NN}}$,$R_{side}$ (fm),stat +,stat -,syst +,syst -
2.35,,0,0,0,0
3.04,,0,0,0,0
3.61,,0,0,0,0
4.09,,0,0,0,0
4.5,,0,0,0,0
4.85,4.55,0.42,-0.42,0.14,-0.14

#: Dataset,E866
$\sqrt{s_{NN}}$,$R_{long}$ (fm),stat +,stat -,syst +,syst -
2.35,,0,0,0,0
3.04,,0,0,0,0
3.61,,0,0,0,0
4.09,,0,0,0,0
4.5,,0,0,0,0
4.85,3.61,0.3,-0.3,0.11,-0.11

