#: table_doi: 10.17182/hepdata.95903.v1/t1
#: name: Figure 5
#: description: Centrality selection for STAR FXT sqrt(sNN) = 4.5 GeV Au+Au collisions
#: data_file: fig5.yaml
#: keyword reactions: AU AU --> X
#: keyword cmenergies: 4.5
#: Dataset,STAR FXT $\sqrt{s_{NN}}$ = 4.5 GeV
$N_{charged}$,$dN/dN_{charged}$,stat +,stat -
0.5,8.0,2.828427,-2.828427
1.5,12.0,3.464102,-3.464102
2.5,215.0,14.66288,-14.66288
3.5,386.0,19.64688,-19.64688
4.5,485.0,22.02272,-22.02272
5.5,589.0,24.26932,-24.26932
6.5,585.0,24.18677,-24.18677
7.5,742.0,27.23968,-27.23968
8.5,708.0,26.60827,-26.60827
9.5,782.0,27.96426,-27.96426
10.5,863.0,29.37686,-29.37686
11.5,858.0,29.29164,-29.29164
12.5,935.0,30.57777,-30.57777
13.5,986.0,31.40064,-31.40064
14.5,1018.0,31.90611,-31.90611
15.5,1040.0,32.24903,-32.24903
16.5,1053.0,32.44996,-32.44996
17.5,1210.0,34.78505,-34.78505
18.5,1162.0,34.08812,-34.08812
19.5,1233.0,35.1141,-35.1141
20.5,1329.0,36.45545,-36.45545
21.5,1352.0,36.76955,-36.76955
22.5,1400.0,37.41657,-37.41657
23.5,1407.0,37.51,-37.51
24.5,1453.0,38.11824,-38.11824
25.5,1545.0,39.30649,-39.30649
26.5,1632.0,40.39802,-40.39802
27.5,1762.0,41.97618,-41.97618
28.5,1816.0,42.61455,-42.61455
29.5,1836.0,42.84857,-42.84857
30.5,1862.0,43.1509,-43.1509
31.5,2111.0,45.94562,-45.94562
32.5,2166.0,46.54031,-46.54031
33.5,2226.0,47.1805,-47.1805
34.5,2312.0,48.08326,-48.08326
35.5,2494.0,49.93996,-49.93996
36.5,2563.0,50.62608,-50.62608
37.5,2648.0,51.45872,-51.45872
38.5,2720.0,52.15362,-52.15362
39.5,2907.0,53.9166,-53.9166
40.5,3025.0,55.0,-55.0
41.5,3214.0,56.69215,-56.69215
42.5,3317.0,57.5934,-57.5934
43.5,3481.0,59.0,-59.0
44.5,3623.0,60.19136,-60.19136
45.5,3679.0,60.65476,-60.65476
46.5,3843.0,61.99193,-61.99193
47.5,4086.0,63.92183,-63.92183
48.5,4233.0,65.06151,-65.06151
49.5,4350.0,65.95453,-65.95453
50.5,4550.0,67.45369,-67.45369
51.5,4790.0,69.20983,-69.20983
52.5,4956.0,70.39886,-70.39886
53.5,5057.0,71.11259,-71.11259
54.5,5300.0,72.8011,-72.8011
55.5,5443.0,73.77669,-73.77669
56.5,5750.0,75.82875,-75.82875
57.5,5844.0,76.44606,-76.44606
58.5,5992.0,77.40801,-77.40801
59.5,6186.0,78.65113,-78.65113
60.5,6393.0,79.95624,-79.95624
61.5,6586.0,81.15417,-81.15417
62.5,6795.0,82.43179,-82.43179
63.5,6964.0,83.45058,-83.45058
64.5,7180.0,84.73488,-84.73488
65.5,7217.0,84.95293,-84.95293
66.5,7475.0,86.45808,-86.45808
67.5,7656.0,87.49857,-87.49857
68.5,7713.0,87.82369,-87.82369
69.5,8093.0,89.9611,-89.9611
70.5,8020.0,89.55445,-89.55445
71.5,8192.0,90.50967,-90.50967
72.5,8390.0,91.59694,-91.59694
73.5,8606.0,92.76853,-92.76853
74.5,8723.0,93.397,-93.397
75.5,8908.0,94.3822,-94.3822
76.5,9021.0,94.97895,-94.97895
77.5,9217.0,96.00521,-96.00521
78.5,9440.0,97.15966,-97.15966
79.5,9365.0,96.77293,-96.77293
80.5,9549.0,97.71898,-97.71898
81.5,9679.0,98.38191,-98.38191
82.5,9804.0,99.01515,-99.01515
83.5,9946.0,99.72963,-99.72963
84.5,9908.0,99.53894,-99.53894
85.5,10189.0,100.9406,-100.9406
86.5,10183.0,100.9109,-100.9109
87.5,10444.0,102.1959,-102.1959
88.5,10455.0,102.2497,-102.2497
89.5,10454.0,102.2448,-102.2448
90.5,10424.0,102.098,-102.098
91.5,10530.0,102.6158,-102.6158
92.5,10687.0,103.3779,-103.3779
93.5,10640.0,103.1504,-103.1504
94.5,10816.0,104.0,-104.0
95.5,10900.0,104.4031,-104.4031
96.5,10970.0,104.7378,-104.7378
97.5,10901.0,104.4079,-104.4079
98.5,10836.0,104.0961,-104.0961
99.5,11034.0,105.0428,-105.0428
100.5,10882.0,104.3168,-104.3168
101.5,10992.0,104.8427,-104.8427
102.5,11077.0,105.2473,-105.2473
103.5,10765.0,103.7545,-103.7545
104.5,11102.0,105.366,-105.366
105.5,10925.0,104.5227,-104.5227
106.5,11030.0,105.0238,-105.0238
107.5,10843.0,104.1297,-104.1297
108.5,10753.0,103.6967,-103.6967
109.5,10958.0,104.6805,-104.6805
110.5,10818.0,104.0096,-104.0096
111.5,10614.0,103.0243,-103.0243
112.5,10667.0,103.2812,-103.2812
113.5,10663.0,103.2618,-103.2618
114.5,10664.0,103.2666,-103.2666
115.5,10717.0,103.5229,-103.5229
116.5,10721.0,103.5423,-103.5423
117.5,10591.0,102.9126,-102.9126
118.5,10497.0,102.4549,-102.4549
119.5,10495.0,102.4451,-102.4451
120.5,10309.0,101.5332,-101.5332
121.5,10112.0,100.5584,-100.5584
122.5,10088.0,100.439,-100.439
123.5,10151.0,100.7522,-100.7522
124.5,10023.0,100.1149,-100.1149
125.5,10021.0,100.1049,-100.1049
126.5,9865.0,99.32271,-99.32271
127.5,9811.0,99.05049,-99.05049
128.5,9548.0,97.71387,-97.71387
129.5,9523.0,97.58586,-97.58586
130.5,9510.0,97.51923,-97.51923
131.5,9513.0,97.53461,-97.53461
132.5,9332.0,96.60228,-96.60228
133.5,9249.0,96.17172,-96.17172
134.5,9133.0,95.56673,-95.56673
135.5,9033.0,95.0421,-95.0421
136.5,9048.0,95.12098,-95.12098
137.5,8994.0,94.8367,-94.8367
138.5,8946.0,94.5833,-94.5833
139.5,8898.0,94.32921,-94.32921
140.5,8670.0,93.11283,-93.11283
141.5,8465.0,92.00543,-92.00543
142.5,8442.0,91.88036,-91.88036
143.5,8373.0,91.5041,-91.5041
144.5,8415.0,91.73331,-91.73331
145.5,8254.0,90.85153,-90.85153
146.5,8170.0,90.38805,-90.38805
147.5,8289.0,91.04395,-91.04395
148.5,7983.0,89.34764,-89.34764
149.5,8047.0,89.70507,-89.70507
150.5,7968.0,89.26365,-89.26365
151.5,7769.0,88.14193,-88.14193
152.5,7704.0,87.77243,-87.77243
153.5,7580.0,87.0632,-87.0632
154.5,7373.0,85.86617,-85.86617
155.5,7379.0,85.90111,-85.90111
156.5,7308.0,85.48684,-85.48684
157.5,7311.0,85.50439,-85.50439
158.5,7166.0,84.65223,-84.65223
159.5,6965.0,83.45658,-83.45658
160.5,7084.0,84.1665,-84.1665
161.5,7030.0,83.8451,-83.8451
162.5,6888.0,82.99398,-82.99398
163.5,6860.0,82.82512,-82.82512
164.5,6767.0,82.26178,-82.26178
165.5,6675.0,81.70067,-81.70067
166.5,6751.0,82.16447,-82.16447
167.5,6586.0,81.15417,-81.15417
168.5,6565.0,81.02469,-81.02469
169.5,6292.0,79.32213,-79.32213
170.5,6277.0,79.22752,-79.22752
171.5,6142.0,78.37091,-78.37091
172.5,5953.0,77.15569,-77.15569
173.5,5904.0,76.83749,-76.83749
174.5,5818.0,76.27582,-76.27582
175.5,5613.0,74.91996,-74.91996
176.5,5549.0,74.49161,-74.49161
177.5,5440.0,73.75636,-73.75636
178.5,5301.0,72.80797,-72.80797
179.5,5079.0,71.2671,-71.2671
180.5,5172.0,71.91662,-71.91662
181.5,4930.0,70.21396,-70.21396
182.5,4805.0,69.31811,-69.31811
183.5,4606.0,67.86752,-67.86752
184.5,4466.0,66.82814,-66.82814
185.5,4309.0,65.64297,-65.64297
186.5,4189.0,64.72248,-64.72248
187.5,4061.0,63.72598,-63.72598
188.5,3851.0,62.05643,-62.05643
189.5,3677.0,60.63827,-60.63827
190.5,3622.0,60.18305,-60.18305
191.5,3305.0,57.48913,-57.48913
192.5,3143.0,56.06247,-56.06247
193.5,3005.0,54.81788,-54.81788
194.5,2727.0,52.22069,-52.22069
195.5,2694.0,51.90376,-51.90376
196.5,2534.0,50.33885,-50.33885
197.5,2321.0,48.17676,-48.17676
198.5,2085.0,45.6618,-45.6618
199.5,1962.0,44.29447,-44.29447
200.5,1909.0,43.6921,-43.6921
201.5,1676.0,40.93898,-40.93898
202.5,1656.0,40.69398,-40.69398
203.5,1536.0,39.19184,-39.19184
204.5,1340.0,36.60601,-36.60601
205.5,1159.0,34.04409,-34.04409
206.5,1136.0,33.7046,-33.7046
207.5,1086.0,32.95451,-32.95451
208.5,931.0,30.51229,-30.51229
209.5,839.0,28.9655,-28.9655
210.5,758.0,27.5318,-27.5318
211.5,633.0,25.15949,-25.15949
212.5,596.0,24.41311,-24.41311
213.5,504.0,22.44994,-22.44994
214.5,435.0,20.85665,-20.85665
215.5,404.0,20.09975,-20.09975
216.5,344.0,18.54724,-18.54724
217.5,339.0,18.41195,-18.41195
218.5,276.0,16.61325,-16.61325
219.5,226.0,15.0333,-15.0333
220.5,206.0,14.3527,-14.3527
221.5,173.0,13.15295,-13.15295
222.5,164.0,12.80625,-12.80625
223.5,149.0,12.20656,-12.20656
224.5,137.0,11.7047,-11.7047
225.5,109.0,10.44031,-10.44031
226.5,99.0,9.949874,-9.949874
227.5,87.0,9.327379,-9.327379
228.5,88.0,9.380832,-9.380832
229.5,84.0,9.165151,-9.165151
230.5,61.0,7.81025,-7.81025
231.5,65.0,8.062258,-8.062258
232.5,53.0,7.28011,-7.28011
233.5,43.0,6.557439,-6.557439
234.5,64.0,8.0,-8.0
235.5,46.0,6.78233,-6.78233
236.5,50.0,7.071068,-7.071068
