#: table_doi: 10.17182/hepdata.95903.v1/t2
#: name: Figure 7
#: description: Rapidity dependence of directed flow, v1(y), for protons with transverse momentum 0.4 < pT < 2.0 GeV/c from events with 10-25% centrality.
#: data_file: fig7.yaml
#: keyword reactions: AU AU --> X
#: keyword cmenergies: 4.5
#: Dataset,Q cumulant method, p 10-25%
$y$,$v_1$,stat +,stat -
0.069867,0.008728,0.011957,-0.011957
0.170133,0.01289,0.010412,-0.010412
0.2704,0.022126,0.009312,-0.009312
0.3696,0.03761,0.008701,-0.008701
0.469867,0.034206,0.008193,-0.008193
0.570133,0.055308,0.008678,-0.008678
0.6704,0.07317,0.009251,-0.009251
0.7696,0.103379,0.009616,-0.009616
0.869867,0.13496,0.010192,-0.010192
0.970133,0.153052,0.010612,-0.010612
1.0704,0.180117,0.01131,-0.01131
1.1696,0.236308,0.01245,-0.01245
1.269867,0.258471,0.013306,-0.013306
1.370133,0.293014,0.014799,-0.014799

