#: table_doi: 10.17182/hepdata.95903.v1/t5
#: name: Figure 9
#: description: The rapidity dependence of the directed flow for the Lambda using the TPC event plane for 10-30% centrality. Plotted error bars are statistical only, while systematic errors are +/- 0.007.
#: data_file: fig9.yaml
#: keyword reactions: AU AU --> X
#: keyword cmenergies: 4.5
#: Dataset,$\Lambda$
$y$,$v_1$,stat +,stat -
-0.0533239,-0.0550412,0.0605971,-0.0605971
0.0823726,-0.00122608,0.0374108,-0.0374108
0.174312,0.0370122,0.0266514,-0.0266514
0.27242,0.0501856,0.0236161,-0.0236161
0.371543,0.0567261,0.0213143,-0.0213143
0.470986,0.0731577,0.0187678,-0.0187678
0.570548,0.0780957,0.0181714,-0.0181714
0.67015,0.081269,0.0177318,-0.0177318
0.769746,0.0848771,0.0192012,-0.0192012
0.869295,0.142655,0.0199869,-0.0199869
0.968738,0.171256,0.0212373,-0.0212373
1.06796,0.177012,0.0241645,-0.0241645
1.16666,0.250469,0.0290848,-0.0290848
1.26364,0.334135,0.0407381,-0.0407381

