#: table_doi: 10.17182/hepdata.102408.v1/t132
#: name: Table 124
#: description: The elliptic flow, v_2, of charged pions as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions Different ∆v_2 ranges were used for the upper and lower panels.
#: data_file: Data26,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 11.5
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],11.5
#: Au+Au,$\pi^{+}-\pi^{-}$
#: Centrality [percentage],0-80
${p_T}$,${\Delta}{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,-0.0016647,0.0,-0.0,0.000219,-0.000219,0.000527,-0.000527
0.495,-0.0016896,4.5e-05,-2.2e-05,0.000279,-0.000279,0.000527,-0.000527
0.675,-0.002171,5.1e-05,-2.5e-05,0.000394,-0.000394,0.000527,-0.000527
0.885,-0.0031137,0.0,-0.0,0.000576,-0.000576,0.000527,-0.000527
1.065,-0.0035917,1e-06,-0.0,0.000854,-0.000854,0.000527,-0.000527
1.275,-0.0036183,5e-06,-1e-05,0.001259,-0.001259,0.000527,-0.000527
1.485,-0.0031834,7e-06,-1e-05,0.00187,-0.00187,0.000527,-0.000527
1.665,-0.0050407,6e-06,-6e-06,0.002792,-0.002792,0.000527,-0.000527
1.935,-0.00044647,9.5e-05,-8.5e-05,0.003408,-0.003408,0.000527,-0.000527
2.355,-0.0086739,0.000151,-0.000149,0.007229,-0.007229,0.000527,-0.000527

