#: table_doi: 10.17182/hepdata.102408.v1/t134
#: name: Table 126
#: description: The elliptic flow, v_2, of charged pions as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions. Different ∆v_2 ranges were used for the upper and lower panels.
#: data_file: Data27,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,$\pi^{+}-\pi^{-}$
#: Centrality [percentage],0-80
${p_T}$,${\Delta}{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.285,-0.0015385,0.0001,-5e-05,9.8e-05,-9.8e-05,0.00044,-0.00044
0.495,-0.0015385,4.7e-05,-2.4e-05,0.000121,-0.000121,0.00044,-0.00044
0.675,-0.0015385,4e-06,-2e-06,0.000169,-0.000169,0.00044,-0.00044
0.885,-0.0015385,4e-06,-2e-06,0.000243,-0.000243,0.00044,-0.00044
1.065,-0.0015385,8e-06,-6e-06,0.000353,-0.000353,0.00044,-0.00044
1.275,-0.0028571,7e-06,-4e-06,0.000513,-0.000513,0.00044,-0.00044
1.485,-0.0024176,2.2e-05,-1.4e-05,0.00075,-0.00075,0.00044,-0.00044
1.665,-0.0010989,2.5e-05,-1.5e-05,0.001092,-0.001092,0.00044,-0.00044
1.875,0.00021978,6.7e-05,-0.000122,0.00155,-0.00155,0.00044,-0.00044
2.085,-0.0046154,0.000158,-0.000129,0.002178,-0.002178,0.00044,-0.00044
2.355,-0.001978,0.000154,-0.000129,0.002491,-0.002491,0.00044,-0.00044
2.805,-0.0032967,4.1e-05,-5.8e-05,0.004491,-0.004491,0.00044,-0.00044
3.435,0.0028571,0.000908,-0.001378,0.012078,-0.012078,0.00044,-0.00044

