#: table_doi: 10.17182/hepdata.102408.v1/t148
#: name: Table 140
#: description: The elliptic flow, v_2, of charged kaons as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions.
#: data_file: Data33,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${K^0_s}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.010105,3e-05,-3e-05,0.001503,-0.001503,0.000336,-0.000336
0.5055,0.025709,0.000128,-0.00013,0.000909,-0.000909,0.000336,-0.000336
0.7055,0.041823,1.9e-05,-1.8e-05,0.000784,-0.000784,0.000336,-0.000336
0.9055,0.05926,6.3e-05,-6.4e-05,0.000847,-0.000847,0.000336,-0.000336
1.1045,0.072406,0.00029,-0.0003,0.001036,-0.001036,0.000336,-0.000336
1.2955,0.085447,7.3e-05,-7e-05,0.001358,-0.001358,0.000336,-0.000336
1.5055,0.091776,4.1e-05,-4e-05,0.001858,-0.001858,0.000336,-0.000336
1.7045,0.098724,0.000286,-0.000272,0.002594,-0.002594,0.000336,-0.000336
1.9055,0.104171,0.000143,-0.000135,0.003654,-0.003654,0.000336,-0.000336
2.1705,0.115128,0.000707,-0.000662,0.004189,-0.004189,0.000336,-0.000336
2.6185,0.109893,0.002134,-0.002321,0.007472,-0.007472,0.000336,-0.000336

