#: table_doi: 10.17182/hepdata.102408.v1/t149
#: name: Table 141
#: description: The elliptic flow, v_2, of charged koans as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions. Different ∆v_2 ranges were used for the upper and lower panels.
#: data_file: Data33,c.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,$K{^+}-K{^-}$
#: Centrality [percentage],0-80
$p_T$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.0073825,2.4e-05,-1.2e-05,0.000564,-0.000564,0.000908,-0.000908
0.495,0.0068972,8e-06,-6e-06,0.000361,-0.000361,0.000908,-0.000908
0.705,0.0078005,2.1e-05,-1.5e-05,0.000369,-0.000369,0.000908,-0.000908
0.885,0.0075512,3.9e-05,-2.4e-05,0.00044,-0.00044,0.000908,-0.000908
1.095,0.0072918,1.9e-05,-6e-06,0.000563,-0.000563,0.000908,-0.000908
1.275,0.0070408,1.8e-05,-9e-06,0.000749,-0.000749,0.000908,-0.000908
1.485,0.0056187,7.2e-05,-4e-05,0.001025,-0.001025,0.000908,-0.000908
1.695,0.0035007,0.000232,-0.000194,0.001421,-0.001421,0.000908,-0.000908
1.875,0.0072045,0.000352,-0.000365,0.00198,-0.00198,0.000908,-0.000908
2.085,0.0097372,0.000754,-0.000667,0.002842,-0.002842,0.000908,-0.000908
2.355,0.0050529,0.00077,-0.000605,0.003444,-0.003444,0.000908,-0.000908
2.805,0.0026755,0.003396,-0.003598,0.007256,-0.007256,0.000908,-0.000908
3.435,0.0028358,0.003967,-0.004202,0.021564,-0.021564,0.000908,-0.000908

