#: table_doi: 10.17182/hepdata.102408.v1/t151
#: name: Table 143
#: description: The elliptic flow, v_2, of charged kaons as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions.
#: data_file: Data34,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${K^0_s}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.012284,0.000229,-0.000223,0.001001,-0.001001,0.000425,-0.000425
0.5055,0.026856,1.8e-05,-1.9e-05,0.000597,-0.000597,0.000425,-0.000425
0.7055,0.0446,3.5e-05,-3.4e-05,0.000509,-0.000509,0.000425,-0.000425
0.9045,0.060943,4.9e-05,-5.1e-05,0.000543,-0.000543,0.000425,-0.000425
1.1055,0.075844,9.5e-05,-9.8e-05,0.00066,-0.00066,0.000425,-0.000425
1.2955,0.08729,5.5e-05,-5.7e-05,0.000857,-0.000857,0.000425,-0.000425
1.5055,0.09662,0.000115,-0.000111,0.001154,-0.001154,0.000425,-0.000425
1.7045,0.104787,0.000549,-0.000523,0.001581,-0.001581,0.000425,-0.000425
1.9055,0.108056,0.000145,-0.000153,0.002179,-0.002179,0.000425,-0.000425
2.1055,0.117038,0.000144,-0.000153,0.003002,-0.003002,0.000425,-0.000425
2.3055,0.120009,0.001197,-0.00128,0.004146,-0.004146,0.000425,-0.000425
2.5735,0.129502,0.001482,-0.00137,0.004635,-0.004635,0.000425,-0.000425
3.1325,0.124308,0.003455,-0.003134,0.00756,-0.00756,0.000425,-0.000425

