#: table_doi: 10.17182/hepdata.102408.v1/t152
#: name: Table 144
#: description: The elliptic flow, v_2, of charged koans as a function of the transverse momentum,p_T,for 0–80% central Au+Au collisions. Different ∆v_2 ranges were used for the upper and lower panels.
#: data_file: Data34,c.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,$K{^+}-K{^-}$
#: Centrality [percentage],0-80
$p_T$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,-0.0059091,1e-05,-6e-06,0.000369,-0.000369,0.00042,-0.00042
0.495,-0.0059091,3e-05,-1.8e-05,0.000235,-0.000235,0.00042,-0.00042
0.705,-0.0061364,1.9e-05,-3.5e-05,0.000238,-0.000238,0.00042,-0.00042
0.885,-0.0056818,4.5e-05,-3.5e-05,0.000283,-0.000283,0.00042,-0.00042
1.095,-0.0063636,1.7e-05,-1e-05,0.000361,-0.000361,0.00042,-0.00042
1.275,-0.0063636,4e-05,-2.7e-05,0.000471,-0.000471,0.00042,-0.00042
1.485,-0.0068182,5e-05,-3.3e-05,0.000627,-0.000627,0.00042,-0.00042
1.695,-0.0070455,2.6e-05,-2e-05,0.000856,-0.000856,0.00042,-0.00042
1.875,-0.0077273,4.7e-05,-4.6e-05,0.001189,-0.001189,0.00042,-0.00042
2.085,-0.0077273,0.000176,-0.000185,0.001674,-0.001674,0.00042,-0.00042
2.265,-0.0086364,0.000707,-0.000787,0.002405,-0.002405,0.00042,-0.00042
2.475,-0.010909,0.00099,-0.001125,0.003567,-0.003567,0.00042,-0.00042
2.805,-0.0072727,0.001236,-0.001432,0.004235,-0.004235,0.00042,-0.00042
3.465,-0.015682,0.006244,-0.006747,0.012675,-0.012675,0.00042,-0.00042

