#: table_doi: 10.17182/hepdata.102408.v1/t15
#: name: Table 15
#: description: The elliptic flow,v_2, as a function of the transverse momentum,p_T, from 0–80% central Au+Au collisions for various particle species and energies.
#: data_file: Data5,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 62.4
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],62.4
#: Au+Au,${K^-}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.011952,3.7e-05,-2.4e-05,0.000364,-0.000364,0.000558,-0.000558
0.495,0.027544,5.3e-05,-3.7e-05,0.000223,-0.000223,0.000558,-0.000558
0.705,0.047814,8.3e-05,-6e-05,0.000221,-0.000221,0.000558,-0.000558
0.885,0.0669,5.7e-05,-1.8e-05,0.000256,-0.000256,0.000558,-0.000558
1.095,0.082874,0.000151,-1.5e-05,0.000316,-0.000316,0.000558,-0.000558
1.275,0.096843,0.000178,-1.9e-05,0.000406,-0.000406,0.000558,-0.000558
1.485,0.107873,9.6e-05,-9.3e-05,0.00054,-0.00054,0.000558,-0.000558
1.695,0.116527,0.000118,-8.3e-05,0.000729,-0.000729,0.000558,-0.000558
1.875,0.125162,0.000136,-9.3e-05,0.001005,-0.001005,0.000558,-0.000558
2.085,0.127785,0.00046,-0.000457,0.001421,-0.001421,0.000558,-0.000558
2.295,0.132031,0.000698,-0.000585,0.001827,-0.001827,0.000558,-0.000558
2.475,0.131966,0.000913,-0.000918,0.002849,-0.002849,0.000558,-0.000558
2.685,0.133757,0.001802,-0.001703,0.003842,-0.003842,0.000558,-0.000558
2.955,0.136496,0.002392,-0.00223,0.004607,-0.004607,0.000558,-0.000558
3.345,0.151896,0.000713,-0.000582,0.006457,-0.006457,0.000558,-0.000558

