#: table_doi: 10.17182/hepdata.102408.v1/t175
#: name: Table 167
#: description: The elliptic flow,v_2 of $\Lambda$ and $\overline{\Lambda}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au. collisions.
#: data_file: Data45,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4935,0.013916,0.00078,-0.000677,0.002318,-0.002318,0.000594,-0.000594
0.7055,0.027929,0.000561,-0.000631,0.001389,-0.001389,0.000594,-0.000594
0.9045,0.045104,0.000328,-0.000324,0.001138,-0.001138,0.000594,-0.000594
1.1055,0.061823,0.000531,-0.000373,0.001109,-0.001109,0.000594,-0.000594
1.2955,0.078641,0.000621,-0.000309,0.001202,-0.001202,0.000594,-0.000594
1.5055,0.098647,0.000412,-0.00051,0.001396,-0.001396,0.000594,-0.000594
1.7055,0.108869,0.000824,-0.000505,0.001729,-0.001729,0.000594,-0.000594
1.9045,0.124267,0.000902,-0.000737,0.002207,-0.002207,0.000594,-0.000594
2.1055,0.127194,0.001043,-0.001102,0.002934,-0.002934,0.000594,-0.000594
2.3055,0.141919,0.000728,-0.000898,0.003956,-0.003956,0.000594,-0.000594
2.5055,0.144249,0.001656,-0.001585,0.005429,-0.005429,0.000594,-0.000594
2.7865,0.153013,0.001478,-0.001258,0.005587,-0.005587,0.000594,-0.000594
3.5195,0.159485,0.003575,-0.003902,0.014889,-0.014889,0.000594,-0.000594
1.7795,-,0,0,0,0,0,0
2.2235,-,0,0,0,0,0,0
2.8315,-,0,0,0,0,0,0

#: SQRT(S) [GEV],19.6
#: Au+Au,$\bar{\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.4935,0.010133,0.000989,-0.001272,0.004806,-0.004806,0.000594,-0.000594
0.7055,0.01834,0.001228,-0.00239,0.003021,-0.003021,0.000594,-0.000594
0.9045,0.033957,0.00094,-0.0008,0.002544,-0.002544,0.000594,-0.000594
1.1055,0.051507,0.001267,-0.000581,0.002499,-0.002499,0.000594,-0.000594
1.2955,0.066496,0.00075,-0.000955,0.002752,-0.002752,0.000594,-0.000594
1.5055,0.082377,0.000703,-0.00167,0.003223,-0.003223,0.000594,-0.000594
1.7055,-,0,0,0,0,0,0
1.9045,-,0,0,0,0,0,0
2.1055,-,0,0,0,0,0,0
2.3055,-,0,0,0,0,0,0
2.5055,-,0,0,0,0,0,0
2.7865,-,0,0,0,0,0,0
3.5195,-,0,0,0,0,0,0
1.7795,0.100328,0.000604,-0.000624,0.003137,-0.003137,0.000594,-0.000594
2.2235,0.128148,0.002539,-0.002425,0.005042,-0.005042,0.000594,-0.000594
2.8315,0.139984,0.005145,-0.005116,0.012878,-0.012878,0.000594,-0.000594

