#: table_doi: 10.17182/hepdata.102408.v1/t177
#: name: Table 169
#: description: The elliptic flow,v_2 of $\Lambda$ and $\overline{\Lambda}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au. collisions.
#: data_file: Data46,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 27
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],27
#: Au+Au,${\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,0.013329,0.004983,-0.004368,0.006619,-0.006619,0.000764,-0.000764
0.5055,0.016116,0.000819,-0.000913,0.001642,-0.001642,0.000764,-0.000764
0.7055,0.029149,0.000277,-0.000371,0.000953,-0.000953,0.000764,-0.000764
0.9055,0.046043,0.000488,-0.000273,0.000775,-0.000775,0.000764,-0.000764
1.1055,0.06557,0.000201,-0.000278,0.000745,-0.000745,0.000764,-0.000764
1.2945,0.082784,0.000324,-0.000237,0.000794,-0.000794,0.000764,-0.000764
1.5055,0.098783,0.000316,-0.000263,0.000917,-0.000917,0.000764,-0.000764
1.7055,0.112276,0.000424,-0.000378,0.001105,-0.001105,0.000764,-0.000764
1.9055,0.127772,0.000274,-0.00035,0.001399,-0.001399,0.000764,-0.000764
2.1055,0.137315,0.000433,-0.00047,0.001818,-0.001818,0.000764,-0.000764
2.3055,0.143278,0.001171,-0.001252,0.002412,-0.002412,0.000764,-0.000764
2.5055,0.154871,0.001161,-0.000935,0.003243,-0.003243,0.000764,-0.000764
2.7055,0.162382,0.001316,-0.001095,0.00439,-0.00439,0.000764,-0.000764
3.0055,0.166744,0.000921,-0.001172,0.004867,-0.004867,0.000764,-0.000764
3.5225,0.176065,0.00238,-0.002284,0.008093,-0.008093,0.000764,-0.000764
0.4925,-,0,0,0,0,0,0
0.7055,-,0,0,0,0,0,0
0.9045,-,0,0,0,0,0,0
1.1055,-,0,0,0,0,0,0
1.2955,-,0,0,0,0,0,0
1.5055,-,0,0,0,0,0,0
1.7055,-,0,0,0,0,0,0
1.9045,-,0,0,0,0,0,0
2.1055,-,0,0,0,0,0,0
2.3055,-,0,0,0,0,0,0
2.5735,-,0,0,0,0,0,0
3.1185,-,0,0,0,0,0,0

#: SQRT(S) [GEV],27
#: Au+Au,$\bar{\Lambda}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.3055,-,0,0,0,0,0,0
0.5055,-,0,0,0,0,0,0
0.7055,-,0,0,0,0,0,0
0.9055,-,0,0,0,0,0,0
1.1055,-,0,0,0,0,0,0
1.2945,-,0,0,0,0,0,0
1.5055,-,0,0,0,0,0,0
1.7055,-,0,0,0,0,0,0
1.9055,-,0,0,0,0,0,0
2.1055,-,0,0,0,0,0,0
2.3055,-,0,0,0,0,0,0
2.5055,-,0,0,0,0,0,0
2.7055,-,0,0,0,0,0,0
3.0055,-,0,0,0,0,0,0
3.5225,-,0,0,0,0,0,0
0.4925,0.013098,0.000569,-0.000866,0.002846,-0.002846,0.000764,-0.000764
0.7055,0.020502,0.000396,-0.001152,0.001759,-0.001759,0.000764,-0.000764
0.9045,0.037002,0.000492,-0.000639,0.001451,-0.001451,0.000764,-0.000764
1.1055,0.053694,0.000269,-0.000256,0.001411,-0.001411,0.000764,-0.000764
1.2955,0.075195,0.000566,-0.000234,0.001516,-0.001516,0.000764,-0.000764
1.5055,0.087181,0.000641,-0.000566,0.001741,-0.001741,0.000764,-0.000764
1.7055,0.103576,0.000488,-0.00092,0.002109,-0.002109,0.000764,-0.000764
1.9045,0.115427,0.000739,-0.000593,0.002638,-0.002638,0.000764,-0.000764
2.1055,0.127988,0.001769,-0.001008,0.003458,-0.003458,0.000764,-0.000764
2.3055,0.135003,0.001443,-0.001245,0.004581,-0.004581,0.000764,-0.000764
2.5735,0.144627,0.002146,-0.002849,0.005013,-0.005013,0.000764,-0.000764
3.1185,0.151156,0.00205,-0.002416,0.008236,-0.008236,0.000764,-0.000764

