#: table_doi: 10.17182/hepdata.102408.v1/t187
#: name: Table 179
#: description: The elliptic flow,v_2 of $\Xi^{-}$ and $\overline{\Xi^{+}}$ as a function of the transverse momentum, p_T,for 0–80% central Au+Au collisions.
#: data_file: Data51,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${\Xi}{^-}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.8295,0.035831,0.002476,-0.003352,0.007777,-0.007777,0.00135,-0.00135
1.2025,0.060857,0.002142,-0.002381,0.005229,-0.005229,0.00135,-0.00135
1.5045,0.082892,0.003897,-0.003109,0.007486,-0.007486,0.00135,-0.00135
1.7855,0.100022,0.003826,-0.003845,0.00637,-0.00637,0.00135,-0.00135
2.2365,0.120116,0.004595,-0.002657,0.00886,-0.00886,0.00135,-0.00135
2.8455,0.138729,0.013814,-0.008993,0.019338,-0.019338,0.00135,-0.00135
0.8315,-,0,0,0,0,0,0
1.2045,-,0,0,0,0,0,0
1.5925,-,0,0,0,0,0,0
2.0445,-,0,0,0,0,0,0
2.6585,-,0,0,0,0,0,0

#: SQRT(S) [GEV],19.6
#: Au+Au,$\bar{\Xi}{^+}$
#: Centrality [percentage],0-80
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.8295,-,0,0,0,0,0,0
1.2025,-,0,0,0,0,0,0
1.5045,-,0,0,0,0,0,0
1.7855,-,0,0,0,0,0,0
2.2365,-,0,0,0,0,0,0
2.8455,-,0,0,0,0,0,0
0.8315,0.033729,0.007351,-0.007812,0.013085,-0.013085,0.00135,-0.00135
1.2045,0.050957,0.004575,-0.005082,0.009215,-0.009215,0.00135,-0.00135
1.5925,0.069349,0.005106,-0.006596,0.009799,-0.009799,0.00135,-0.00135
2.0445,0.088494,0.005252,-0.003425,0.012096,-0.012096,0.00135,-0.00135
2.6585,0.106157,0.01179,-0.013306,0.024583,-0.024583,0.00135,-0.00135

