#: table_doi: 10.17182/hepdata.102408.v1/t216
#: name: Table 208
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 0–10% central Au+Au collisions.
#: data_file: Data69,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 19.6
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],19.6
#: Au+Au,${p}$
#: Centrality [percentage],0-10
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,-0.002694,0.001201,-0.000617,0.001893,-0.001893,0.000744,-0.000744
0.495,0.005961,0.000376,-0.000287,0.000728,-0.000728,0.000744,-0.000744
0.705,0.013904,0.000208,-0.000416,0.00061,-0.00061,0.000744,-0.000744
0.885,0.02562,0.00013,-0.00027,0.000612,-0.000612,0.000744,-0.000744
1.095,0.036874,0.000141,-0.000286,0.000684,-0.000684,0.000744,-0.000744
1.275,0.048664,0.000198,-0.000204,0.00082,-0.00082,0.000744,-0.000744
1.485,0.05659,0.000111,-0.000102,0.001031,-0.001031,0.000744,-0.000744
1.695,0.064166,0.000211,-0.000248,0.00082,-0.00082,0.000744,-0.000744
2.875,0.071147,0.000703,-0.001476,0.000684,-0.000684,0.000744,-0.000744
2.085,0.073931,0.000527,-0.000426,0.000612,-0.000612,0.000744,-0.000744
2.295,0.079297,0.000516,-0.000672,0.00061,-0.00061,0.000744,-0.000744
2.535,0.086171,0.000391,-0.000324,0.000728,-0.000728,0.000744,-0.000744
3.045,0.086505,0.003018,-0.001812,0.001893,-0.001893,0.000744,-0.000744
1.755,-,0,0,0,0,0,0
2.145,-,0,0,0,0,0,0
2.625,-,0,0,0,0,0,0

#: SQRT(S) [GEV],19.6
#: Au+Au,$\overline{p}$
#: Centrality [percentage],0-10
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,-0.002376,0.004644,-0.014661,0.005955,-0.005955,0.000744,-0.000744
0.495,-0.00616,0.000296,-0.000576,0.002424,-0.002424,0.000744,-0.000744
0.705,0.003881,0.000414,-0.000955,0.001984,-0.001984,0.000744,-0.000744
0.885,0.014808,0.000392,-0.000516,0.001979,-0.001979,0.000744,-0.000744
1.095,0.0228,0.000132,-0.000271,0.00223,-0.00223,0.000744,-0.000744
1.275,0.035113,0.000448,-0.000988,0.002717,-0.002717,0.000744,-0.000744
1.485,0.036955,0.001506,-0.000727,0.00347,-0.00347,0.000744,-0.000744
1.695,-,0,0,0,0,0,0
2.875,-,0,0,0,0,0,0
2.085,-,0,0,0,0,0,0
2.295,-,0,0,0,0,0,0
2.535,-,0,0,0,0,0,0
3.045,-,0,0,0,0,0,0
1.755,0.056646,0.000263,-0.000517,0.003358,-0.003358,0.000744,-0.000744
2.145,0.065816,0.001198,-0.002293,0.006241,-0.006241,0.000744,-0.000744
2.625,0.07319,0.000584,-0.00079,0.012013,-0.012013,0.000744,-0.000744

