#: table_doi: 10.17182/hepdata.102408.v1/t220
#: name: Table 212
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 0–10% central Au+Au collisions.
#: data_file: Data71,a.yaml
#: keyword reactions: Au+Au
#: keyword observables: v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,${p}$
#: Centrality [percentage],0-10
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.000345,0.000744,-0.000722,0.001072,-0.001072,0.001035,-0.001035
0.495,0.004297,0.000655,-0.000602,0.000396,-0.000396,0.001035,-0.001035
0.705,0.011399,0.000319,-0.00068,0.000325,-0.000325,0.001035,-0.001035
0.885,0.023144,0.000381,-0.000646,0.000319,-0.000319,0.001035,-0.001035
1.095,0.036237,0.000267,-0.000465,0.000348,-0.000348,0.001035,-0.001035
1.275,0.048719,0.000296,-0.000481,0.000407,-0.000407,0.001035,-0.001035
1.485,0.059745,0.000205,-0.000402,0.000499,-0.000499,0.001035,-0.001035
1.695,0.068802,0.000164,-0.000333,0.000638,-0.000638,0.001035,-0.001035
1.875,0.076811,0.000195,-0.000115,0.000843,-0.000843,0.001035,-0.001035
2.085,0.083479,0.000181,-0.000301,0.001033,-0.001033,0.001035,-0.001035
2.295,0.08957,0.00018,-9e-05,0.001365,-0.001365,0.001035,-0.001035
2.475,0.093359,0.000496,-0.000253,0.001862,-0.001862,0.001035,-0.001035
2.685,0.092837,0.000331,-0.000543,0.002573,-0.002573,0.001035,-0.001035
2.955,0.098528,0.000166,-0.000186,0.002892,-0.002892,0.001035,-0.001035
3.345,0.099635,0.000449,-0.000861,0.005639,-0.005639,0.001035,-0.001035

#: SQRT(S) [GEV],39
#: Au+Au,$\overline{p}$
#: Centrality [percentage],0-10
${p_T}$,${v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,0.001048,0.000399,-0.000798,0.001926,-0.001926,0.001035,-0.001035
0.495,0.000443,0.000375,-0.000647,0.000786,-0.000786,0.001035,-0.001035
0.705,0.00784,0.000372,-0.00086,0.000629,-0.000629,0.001035,-0.001035
0.885,0.017499,0.000452,-0.000985,0.000614,-0.000614,0.001035,-0.001035
1.095,0.029677,0.00057,-0.001249,0.000672,-0.000672,0.001035,-0.001035
1.275,0.042122,0.000265,-0.000501,0.000795,-0.000795,0.001035,-0.001035
1.485,0.052129,0.000472,-0.001016,0.000989,-0.000989,0.001035,-0.001035
1.695,0.060801,0.000202,-0.000329,0.001295,-0.001295,0.001035,-0.001035
1.875,0.065899,0.000465,-0.000649,0.001517,-0.001517,0.001035,-0.001035
2.085,0.071206,0.000513,-0.000782,0.002033,-0.002033,0.001035,-0.001035
2.295,0.074742,0.000437,-0.000456,0.002719,-0.002719,0.001035,-0.001035
2.475,0.084959,0.001572,-0.000806,0.00378,-0.00378,0.001035,-0.001035
2.685,0.080727,0.001438,-0.001176,0.005328,-0.005328,0.001035,-0.001035
2.955,0.09068,0.000909,-0.001624,0.006099,-0.006099,0.001035,-0.001035
3.345,0.084871,0.002799,-0.004972,0.012311,-0.012311,0.001035,-0.001035

