#: table_doi: 10.17182/hepdata.102408.v1/t221
#: name: Table 213
#: description: The elliptic flow, v_2, of p and $\overline{p}$ as a function of the transverse momentum, p_T, for 0–10% central Au+Au collisions.
#: data_file: Data71,b.yaml
#: keyword reactions: Au+Au
#: keyword observables: ∆v_2/p_T
#: keyword cmenergies: 39
#: keyword phrases: Elliptic flow | RHIC | STAR
#: SQRT(S) [GEV],39
#: Au+Au,${p} - \overline{p}$
#: Centrality [percentage],0-10
${p_T}$,$\Delta{v_2}$,sys +,sys -,stat +,stat -,glob +,glob -
0.315,-0.0013158,0.000399,-0.000798,0.001926,-0.001926,0.001035,-0.001035
0.495,0.0026316,0.000375,-0.000647,0.000786,-0.000786,0.001035,-0.001035
0.705,0.0023684,0.000372,-0.00086,0.000629,-0.000629,0.001035,-0.001035
0.885,0.0036842,0.000452,-0.000985,0.000614,-0.000614,0.001035,-0.001035
1.095,0.005,0.00057,-0.001249,0.000672,-0.000672,0.001035,-0.001035
1.275,0.0047368,0.000265,-0.000501,0.000795,-0.000795,0.001035,-0.001035
1.485,0.0055263,0.000472,-0.001016,0.000989,-0.000989,0.001035,-0.001035
1.695,0.0060526,0.000202,-0.000329,0.001295,-0.001295,0.001035,-0.001035
2.875,0.0084211,0.000465,-0.000649,0.001517,-0.001517,0.001035,-0.001035
2.085,0.0092105,0.000513,-0.000782,0.002033,-0.002033,0.001035,-0.001035
2.295,0.011316,0.000437,-0.000456,0.002719,-0.002719,0.001035,-0.001035
2.475,0.0063158,0.001572,-0.000806,0.00378,-0.00378,0.001035,-0.001035
2.685,0.0094737,0.001438,-0.001176,0.005328,-0.005328,0.001035,-0.001035
2.955,0.0057895,0.000909,-0.001624,0.006099,-0.006099,0.001035,-0.001035
3.345,0.011316,0.002799,-0.004972,0.012311,-0.012311,0.001035,-0.001035

